Geo_Code,CD_Name,CSD_Name,CSD_type,"Car, truck or van - as a driver","Car, truck or van - as a passenger","Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration
5901003,East Kootenay,Elkford,District municipality,710,120,830,440,30,0,0,30
5901006,East Kootenay,Sparwood,District municipality,1400,160,1560,170,150,0,10,10.7
5901012,East Kootenay,Fernie,City,1670,185,1855,80,315,130,0,10.3
5901022,East Kootenay,Cranbrook,City,6695,665,7360,100,945,90,145,10.2
5901028,East Kootenay,Kimberley,City,2015,230,2245,60,280,60,85,15.7
5901035,East Kootenay,East Kootenay C,Regional district electoral area,2410,175,2585,55,45,0,0,15.1
5901039,East Kootenay,Invermere,District municipality,995,70,1065,20,170,0,0,10.4
5901046,East Kootenay,East Kootenay F,Regional district electoral area,950,95,1045,0,95,0,25,11
5901801,East Kootenay,Tobacco Plains 2,Indian reserve,25,0,25,0,0,0,0,10.4
5901803,East Kootenay,Kootenay 1,Indian reserve,20,15,35,0,0,0,0,17.7
5901804,East Kootenay,Columbia Lake 3,Indian reserve,50,10,60,0,0,0,0,15.7
5901806,East Kootenay,Shuswap,Indian reserve,110,10,120,0,15,0,0,10.8
5903004,Central Kootenay,Creston,Town,1505,75,1580,0,345,85,0,6
5903013,Central Kootenay,Central Kootenay B,Regional district electoral area,1085,65,1150,0,75,15,0,10.8
5903015,Central Kootenay,Nelson,City,2520,220,2740,180,1315,170,105,10.8
5903023,Central Kootenay,Kaslo,Village,175,0,175,0,65,0,0,10
5903032,Central Kootenay,New Denver,Village,105,0,105,0,30,0,0,10.6
5903041,Central Kootenay,Central Kootenay E,Regional district electoral area,1320,155,1475,0,160,0,20,15.8
5903043,Central Kootenay,Central Kootenay F,Regional district electoral area,1655,75,1730,40,0,0,35,17.4
5903045,Central Kootenay,Castlegar,City,2675,215,2890,55,315,35,35,11
5903050,Central Kootenay,Nakusp,Village,345,35,380,0,105,0,0,10.2
5903052,Central Kootenay,Central Kootenay H,Regional district electoral area,1400,70,1470,50,40,0,30,25.6
5903058,Central Kootenay,Central Kootenay J,Regional district electoral area,1275,90,1365,0,0,0,0,15.7
5903807,Central Kootenay,Creston 1,Indian reserve,25,0,25,0,0,0,0,5.5
5905005,Kootenay Boundary,Fruitvale,Village,630,75,705,0,35,0,0,15.9
5905009,Kootenay Boundary,Montrose,Village,435,0,435,0,0,0,0,12.3
5905014,Kootenay Boundary,Trail,City,2345,200,2545,40,310,0,10,10.5
5905018,Kootenay Boundary,Warfield,Village,635,25,660,65,80,0,0,10.7
5905023,Kootenay Boundary,Rossland,City,1315,60,1375,15,155,0,70,12.1
5905026,Kootenay Boundary,Kootenay Boundary A,Regional district electoral area,645,35,680,0,40,0,10,19
5905032,Kootenay Boundary,Grand Forks,City,845,125,970,0,205,80,0,7.8
5905037,Kootenay Boundary,Midway,Village,120,0,120,0,0,0,0,10.7
5907005,Okanagan-Similkameen,Osoyoos,Town,1100,60,1160,20,260,0,35,10.7
5907024,Okanagan-Similkameen,Princeton,Town,730,50,780,0,90,0,25,5.9
5907035,Okanagan-Similkameen,Summerland,District municipality,3500,265,3765,15,360,65,70,15.7
5907041,Okanagan-Similkameen,Penticton,City,9845,810,10655,160,1660,470,340,10.4
5907047,Okanagan-Similkameen,Okanagan-Similkameen D,Regional district electoral area,2210,140,2350,0,115,30,80,15.8
5907051,Okanagan-Similkameen,Okanagan-Similkameen F,Regional district electoral area,830,40,870,0,0,0,20,11
5907801,Okanagan-Similkameen,Lower Similkameen 2,Indian reserve,15,0,15,0,0,0,0,17
5907802,Okanagan-Similkameen,Osoyoos 1,Indian reserve,175,30,205,0,0,0,0,10.7
5907803,Okanagan-Similkameen,Penticton 1,Indian reserve,335,35,370,10,20,0,0,10.7
5907805,Okanagan-Similkameen,Chopaka 7 & 8,Indian reserve,20,0,20,0,0,0,0,20.7
5907807,Okanagan-Similkameen,Chuchuwayha 2,Indian reserve,20,0,20,0,10,0,0,10.5
5907809,Okanagan-Similkameen,Ashnola 10,Indian reserve,10,0,10,0,0,0,0,30.5
5909009,Fraser Valley,Hope,District municipality,1655,165,1820,0,230,30,35,10.5
5909014,Fraser Valley,Fraser Valley A,Regional district electoral area,110,0,110,0,10,0,0,6.2
5909020,Fraser Valley,Chilliwack,City,28290,2120,30410,475,1445,585,490,15.7
5909027,Fraser Valley,Harrison Hot Springs,Village,340,15,355,0,50,0,0,20.1
5909032,Fraser Valley,Kent,District municipality,1655,60,1715,0,160,30,30,15.5
5909034,Fraser Valley,Fraser Valley D,Regional district electoral area,545,15,560,0,0,0,0,20.6
5909036,Fraser Valley,Fraser Valley E,Regional district electoral area,1335,45,1380,0,0,0,20,21
5909052,Fraser Valley,Abbotsford,City,50215,4720,54935,1135,1605,500,1055,15.9
5909056,Fraser Valley,Mission,District municipality,14005,1080,15085,785,395,80,340,26
5909060,Fraser Valley,Fraser Valley F,Regional district electoral area,435,25,460,70,0,0,20,35.6
5909804,Fraser Valley,Chawathil 4,Indian reserve,30,0,30,0,0,0,0,20.4
5909807,Fraser Valley,Ohamil 1,Indian reserve,0,0,0,0,10,0,0,10.5
5909812,Fraser Valley,Schkam 2,Indian reserve,20,0,20,0,0,0,0,10.7
5909819,Fraser Valley,Kahmoose 4,Indian reserve,20,0,20,0,0,0,0,20.1
5909821,Fraser Valley,Kwawkwawapilt 6,Indian reserve,50,0,50,0,0,0,0,10.1
5909824,Fraser Valley,Skwah 4,Indian reserve,40,10,50,0,0,0,0,15.5
5909826,Fraser Valley,Skway 5,Indian reserve,15,0,15,0,0,0,0,15.9
5909827,Fraser Valley,Soowahlie 14,Indian reserve,40,0,40,0,0,0,0,20.6
5909830,Fraser Valley,Tzeachten 13,Indian reserve,220,25,245,0,0,0,10,15.8
5909832,Fraser Valley,Seabird Island,Indian reserve,135,20,155,0,15,0,10,5.8
5909837,Fraser Valley,Cheam 1,Indian reserve,30,10,40,0,10,0,0,11
5909839,Fraser Valley,Chehalis 5,Indian reserve,145,20,165,0,10,0,0,8.1
5909841,Fraser Valley,Stullawheets 8,Indian reserve,10,0,10,0,0,0,0,15.3
5909845,Fraser Valley,Skookumchuck 4,Indian reserve,0,10,10,0,10,0,0,10.2
5909875,Fraser Valley,Q'alatkÅÒ7em,Indian reserve,0,0,0,0,0,0,0,0
5909877,Fraser Valley,Upper Sumas 6,Indian reserve,40,0,40,0,0,0,0,20.4
5909878,Fraser Valley,Matsqui Main 2,Indian reserve,15,0,15,0,0,0,0,5.8
5909879,Fraser Valley,Holachten 8,Indian reserve,85,10,95,0,0,0,0,35.6
5909880,Fraser Valley,Lakahahmen 11,Indian reserve,45,0,45,0,0,0,0,30.3
5909881,Fraser Valley,Skweahm 10,Indian reserve,100,0,100,0,0,0,0,20.7
5909882,Fraser Valley,Squawkum Creek 3,Indian reserve,25,0,25,0,0,0,0,20.3
5909884,Fraser Valley,Skowkale,Indian reserve,180,10,190,0,0,0,0,15.3
5909885,Fraser Valley,Squiaala,Indian reserve,10,0,10,0,0,0,0,16
5915001,Greater Vancouver,Langley,District municipality,42705,2605,45310,1740,1635,245,665,25.1
5915002,Greater Vancouver,Langley,City,10075,510,10585,570,615,85,135,22.5
5915004,Greater Vancouver,Surrey,City,162090,13985,176075,27040,5465,730,2410,30.2
5915007,Greater Vancouver,White Rock,City,6395,340,6735,670,540,60,165,25.7
5915011,Greater Vancouver,Delta,District municipality,35760,2950,38710,4870,1740,640,695,25.9
5915015,Greater Vancouver,Richmond,City,58520,5270,63790,15125,2930,1055,995,20.8
5915020,Greater Vancouver,Greater Vancouver A,Regional district electoral area,1670,125,1795,690,1190,295,80,20.6
5915022,Greater Vancouver,Vancouver,City,141435,10685,152120,88290,36960,12855,4570,20.9
5915025,Greater Vancouver,Burnaby,City,63525,4475,68000,29240,4490,750,1435,30.1
5915029,Greater Vancouver,New Westminster,City,20475,1270,21745,9725,1905,310,540,30.2
5915034,Greater Vancouver,Coquitlam,City,43285,2990,46275,10215,2075,290,780,30.4
5915036,Greater Vancouver,Belcarra,Village,290,0,290,0,0,0,0,30.8
5915038,Greater Vancouver,Anmore,Village,765,45,810,125,15,0,0,30.3
5915039,Greater Vancouver,Port Coquitlam,City,22000,1410,23410,3620,1055,195,330,30.6
5915043,Greater Vancouver,Port Moody,City,12080,765,12845,2620,315,100,255,30.6
5915046,Greater Vancouver,North Vancouver,District municipality,28090,1900,29990,5765,1390,835,675,20.7
5915051,Greater Vancouver,North Vancouver,City,14895,1065,15960,5860,2940,525,365,20.5
5915055,Greater Vancouver,West Vancouver,District municipality,10400,620,11020,1950,755,250,290,20.7
5915065,Greater Vancouver,Lions Bay,Village,430,35,465,100,0,0,0,31
5915070,Greater Vancouver,Pitt Meadows,City,7035,380,7415,1195,320,40,105,30.2
5915075,Greater Vancouver,Maple Ridge,District municipality,29565,1990,31555,3475,1215,195,320,30.5
5915801,Greater Vancouver,Semiahmoo,Indian reserve,40,0,40,0,0,0,0,30.1
5915802,Greater Vancouver,Tsawwassen,Indian reserve,200,20,220,0,25,15,0,20.4
5915803,Greater Vancouver,Musqueam 2,Indian reserve,360,35,395,70,95,30,0,15.9
5915806,Greater Vancouver,Burrard Inlet 3,Indian reserve,600,30,630,75,45,25,0,20.8
5915807,Greater Vancouver,Mission 1,Indian reserve,105,25,130,55,25,0,0,15.8
5915808,Greater Vancouver,Capilano 5,Indian reserve,500,40,540,300,155,10,0,20
5915811,Greater Vancouver,Seymour Creek 2,Indian reserve,25,0,25,0,0,0,0,15.7
5915816,Greater Vancouver,McMillan Island 6,Indian reserve,15,0,15,0,0,0,0,40.8
5915825,Greater Vancouver,Matsqui 4,Indian reserve,20,0,20,0,0,0,0,20.4
5915830,Greater Vancouver,Katzie 1,Indian reserve,40,0,40,10,10,0,0,20.3
5917005,Capital,North Saanich,District municipality,3765,205,3970,295,110,160,145,15.8
5917010,Capital,Sidney,Town,2920,205,3125,320,470,155,120,15.7
5917015,Capital,Central Saanich,District municipality,5960,320,6280,455,290,230,185,20.2
5917021,Capital,Saanich,District municipality,35925,2755,38680,6455,3035,2790,1135,15.8
5917027,Capital,Capital F,Regional district electoral area,2800,155,2955,160,265,80,80,11.5
5917029,Capital,Capital G,Regional district electoral area,1295,145,1440,50,85,65,20,15.4
5917030,Capital,Oak Bay,District municipality,4165,285,4450,725,700,700,275,15.5
5917034,Capital,Victoria,City,18655,1385,20040,5565,9105,4250,990,15.8
5917040,Capital,Esquimalt,District municipality,4815,455,5270,1340,950,530,240,17.1
5917041,Capital,Colwood,City,6415,375,6790,585,235,230,190,28
5917042,Capital,Metchosin,District municipality,1750,125,1875,50,65,50,35,30.4
5917044,Capital,Langford,City,12110,955,13065,985,845,275,230,25.4
5917047,Capital,View Royal,Town,3475,280,3755,630,130,175,85,20.5
5917049,Capital,Highlands,District municipality,955,70,1025,20,25,0,30,25.3
5917052,Capital,Sooke,District municipality,4065,440,4505,470,225,35,105,35.1
5917054,Capital,Capital H (Part 1),Regional district electoral area,1625,75,1700,135,40,0,40,40.3
5917801,Capital,Cole Bay 3,Indian reserve,35,15,50,10,10,0,0,10.7
5917802,Capital,Union Bay 4,Indian reserve,15,0,15,0,0,0,0,10.8
5917803,Capital,East Saanich 2,Indian reserve,405,40,445,35,50,10,20,20.4
5917804,Capital,South Saanich 1,Indian reserve,145,35,180,15,10,0,0,15.6
5917812,Capital,New Songhees 1A,Indian reserve,425,25,450,75,55,20,0,16.7
5917815,Capital,Gordon River 2,Indian reserve,15,0,15,0,15,0,0,5.3
5917819,Capital,T'Sou-ke,Indian reserve,70,15,85,0,15,0,0,15.1
5919008,Cowichan Valley,North Cowichan,District municipality,9915,605,10520,270,680,200,195,15.4
5919012,Cowichan Valley,Duncan,City,1215,115,1330,40,215,50,0,10.9
5919013,Cowichan Valley,Cowichan Valley D,Regional district electoral area,1100,75,1175,25,55,0,0,15.7
5919015,Cowichan Valley,Cowichan Valley G,Regional district electoral area,795,30,825,0,0,0,40,20.6
5919016,Cowichan Valley,Lake Cowichan,Town,955,95,1050,0,75,15,0,25.2
5919017,Cowichan Valley,Cowichan Valley H,Regional district electoral area,755,35,790,0,50,0,15,20.8
5919021,Cowichan Valley,Ladysmith,Town,2785,195,2980,0,340,0,125,20.3
5919035,Cowichan Valley,Cowichan Valley I,Regional district electoral area,290,40,330,0,0,0,0,25.1
5919043,Cowichan Valley,Cowichan Valley A,Regional district electoral area,1575,115,1690,35,85,0,25,25.7
5919046,Cowichan Valley,Cowichan Valley B,Regional district electoral area,3360,345,3705,65,70,35,35,30.9
5919049,Cowichan Valley,Cowichan Valley C,Regional district electoral area,1460,135,1595,45,40,15,45,25.3
5919051,Cowichan Valley,Cowichan Valley E,Regional district electoral area,1485,75,1560,20,45,0,35,15.8
5919801,Cowichan Valley,Halalt 2,Indian reserve,25,10,35,0,10,0,0,15.1
5919802,Cowichan Valley,Squaw-hay-one 11,Indian reserve,0,0,0,0,0,0,0,0
5919803,Cowichan Valley,Tsussie 6,Indian reserve,15,0,15,0,0,0,0,25.6
5919804,Cowichan Valley,Chemainus 13,Indian reserve,80,25,105,0,10,0,0,16
5919809,Cowichan Valley,Kuper Island 7,Indian reserve,55,0,55,0,10,0,0,25.3
5919814,Cowichan Valley,Malachan 11,Indian reserve,10,0,10,0,25,0,0,4.5
5919815,Cowichan Valley,Malahat 11,Indian reserve,10,0,10,0,0,0,0,3
5919816,Cowichan Valley,Oyster Bay 12,Indian reserve,15,0,15,0,0,0,0,8.3
5919822,Cowichan Valley,Cowichan,Indian reserve,305,65,370,0,35,0,0,11
5921007,Nanaimo,Nanaimo,City,28580,2280,30860,1350,2660,700,725,15.1
5921008,Nanaimo,Lantzville,District municipality,1355,50,1405,15,60,25,55,20.1
5921010,Nanaimo,Nanaimo A,Regional district electoral area,2815,125,2940,20,90,70,80,20.2
5921014,Nanaimo,Nanaimo B,Regional district electoral area,930,85,1015,145,140,30,75,15.3
5921016,Nanaimo,Nanaimo C,Regional district electoral area,1020,45,1065,10,65,0,0,15.5
5921018,Nanaimo,Parksville,City,3100,255,3355,40,365,40,80,10.8
5921023,Nanaimo,Qualicum Beach,Town,1690,75,1765,35,160,50,70,15.3
5921030,Nanaimo,Nanaimo E,Regional district electoral area,1635,70,1705,15,70,45,90,20.2
5921032,Nanaimo,Nanaimo F,Regional district electoral area,2800,170,2970,0,155,40,85,15.7
5921034,Nanaimo,Nanaimo G,Regional district electoral area,2105,145,2250,45,135,55,55,15.7
5921036,Nanaimo,Nanaimo H,Regional district electoral area,935,95,1030,0,40,0,30,25.6
5921804,Nanaimo,Nanaimo Town 1,Indian reserve,50,10,60,0,30,0,0,5.7
5921805,Nanaimo,Nanoose,Indian reserve,35,0,35,0,20,0,0,10.4
5921806,Nanaimo,Qualicum,Indian reserve,20,10,30,0,10,0,0,5.5
5921807,Nanaimo,Nanaimo River,Indian reserve,30,0,30,0,0,0,0,15.6
5923008,Alberni-Clayoquot,Port Alberni,City,4810,455,5265,200,465,80,55,10.3
5923033,Alberni-Clayoquot,Alberni-Clayoquot B,Regional district electoral area,175,0,175,0,40,0,0,20.1
5923035,Alberni-Clayoquot,Alberni-Clayoquot D,Regional district electoral area,535,75,610,0,55,0,0,15.8
5923037,Alberni-Clayoquot,Alberni-Clayoquot E,Regional district electoral area,1025,95,1120,0,30,0,20,12.3
5923039,Alberni-Clayoquot,Alberni-Clayoquot F,Regional district electoral area,665,20,685,0,0,0,0,10.7
5923801,Alberni-Clayoquot,Ahahswinis 1,Indian reserve,25,0,25,0,0,0,0,10.6
5923803,Alberni-Clayoquot,Anacla 12,Indian reserve,15,20,35,0,0,0,0,8
5923807,Alberni-Clayoquot,Ittatsoo 1,Indian reserve,50,20,70,0,10,0,0,15.1
5923808,Alberni-Clayoquot,Marktosis 15,Indian reserve,15,0,15,0,180,0,25,5.6
5923813,Alberni-Clayoquot,Opitsat 1,Indian reserve,0,0,0,0,0,0,35,30.7
5923816,Alberni-Clayoquot,Tsahaheh 1,Indian reserve,115,35,150,10,15,0,0,6
5923823,Alberni-Clayoquot,Esowista 3,Indian reserve,35,10,45,0,0,0,0,15.5
5923824,Alberni-Clayoquot,Refuge Cove 6,Indian reserve,0,0,0,0,30,0,0,5.2
5924029,Strathcona,Zeballos,Village,30,0,30,0,0,0,0,10.4
5924034,Strathcona,Campbell River,City,10265,1180,11445,880,780,245,420,11
5924039,Strathcona,Sayward,Village,100,0,100,0,10,0,0,30.6
5924042,Strathcona,Strathcona D (Oyster Bay - Buttle Lake),Regional district electoral area,1550,125,1675,20,35,20,30,20.1
5924052,Strathcona,Strathcona B,Regional district electoral area,335,0,335,0,65,35,0,10.4
5924054,Strathcona,Strathcona C,Regional district electoral area,585,85,670,65,95,55,105,20.6
5924804,Strathcona,Campbell River 11,Indian reserve,100,20,120,10,15,0,0,5.9
5924806,Strathcona,Houpsitas 6,Indian reserve,0,10,10,10,40,0,0,5.6
5924812,Strathcona,Quinsam 12,Indian reserve,85,10,95,0,10,0,10,10.7
5924817,Strathcona,Cape Mudge 10,Indian reserve,35,10,45,0,10,0,0,15.4
5924820,Strathcona,Tork 7,Indian reserve,0,0,0,0,10,0,0,5.7
5924835,Strathcona,Tsa Xana 18,Indian reserve,20,0,20,0,10,0,0,5.5
5924836,Strathcona,Ehatis 11,Indian reserve,10,0,10,0,10,0,0,5.5
5924840,Strathcona,Homalco 9,Indian reserve,20,0,20,0,10,0,0,15.7
5926005,Comox Valley,Comox,Town,4330,275,4605,80,325,300,180,11.7
5926010,Comox Valley,Courtenay,City,7490,700,8190,205,725,235,220,10.9
5926014,Comox Valley,Cumberland,Village,1170,45,1215,30,140,35,75,15.4
5926021,Comox Valley,Comox Valley A,Regional district electoral area,2225,70,2295,30,80,95,185,15.3
5926022,Comox Valley,Comox Valley B (Lazo North),Regional district electoral area,2405,175,2580,70,110,80,105,15.4
5926024,Comox Valley,Comox Valley C (Puntledge - Black Creek),Regional district electoral area,3055,210,3265,55,95,145,170,20.8
5926801,Comox Valley,Comox 1,Indian reserve,55,0,55,0,10,0,0,15.1
5927008,Powell River,Powell River,City,3945,430,4375,140,420,65,120,10.3
5927012,Powell River,Powell River B,Regional district electoral area,455,25,480,0,0,20,15,10.9
5927018,Powell River,Powell River D,Regional district electoral area,200,0,200,10,60,0,0,15.7
5927020,Powell River,Powell River E,Regional district electoral area,100,0,100,0,30,0,0,20.2
5927802,Powell River,Sliammon 1,Indian reserve,115,15,130,0,20,0,0,15.5
5929005,Sunshine Coast,Gibsons,Town,1155,150,1305,155,270,0,25,15.2
5929011,Sunshine Coast,Sechelt,District municipality,3045,215,3260,260,200,50,100,12.2
5929018,Sunshine Coast,Sunshine Coast A,Regional district electoral area,775,0,775,0,70,0,40,20.4
5929022,Sunshine Coast,Sunshine Coast B,Regional district electoral area,765,50,815,35,55,0,20,15.8
5929024,Sunshine Coast,Sunshine Coast D,Regional district electoral area,930,95,1025,70,125,0,40,18.1
5929026,Sunshine Coast,Sunshine Coast E,Regional district electoral area,1155,105,1260,115,70,45,25,15.5
5929028,Sunshine Coast,Sunshine Coast F,Regional district electoral area,630,20,650,95,60,0,30,15.3
5929803,Sunshine Coast,Sechelt (Part),Indian government district,150,30,180,10,40,0,0,10.4
5931006,Squamish-Lillooet,Squamish,District municipality,6610,800,7410,320,440,300,95,11
5931020,Squamish-Lillooet,Whistler,District municipality,3265,360,3625,730,570,430,35,10.8
