Geo_Code,CD_Name,CSD_Name,CSD_type,"Car, truck or van - as a driver","Car, truck or van - as a passenger","Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration
5931026,Squamish-Lillooet,Lillooet,District municipality,690,35,725,0,145,0,0,5.9
5931032,Squamish-Lillooet,Squamish-Lillooet A,Regional district electoral area,75,0,75,0,0,0,0,5.9
5931034,Squamish-Lillooet,Squamish-Lillooet B,Regional district electoral area,110,0,110,0,0,0,0,20
5931801,Squamish-Lillooet,Cheakamus 11,Indian reserve,10,0,10,0,0,0,0,15.3
5931806,Squamish-Lillooet,Seaichem 16,Indian reserve,20,0,20,0,0,0,0,11.7
5931807,Squamish-Lillooet,Stawamus 24,Indian reserve,25,0,25,0,15,0,0,5.8
5931808,Squamish-Lillooet,Waiwakum 14,Indian reserve,30,10,40,0,0,0,0,15.5
5931812,Squamish-Lillooet,Nesuch 3,Indian reserve,25,10,35,0,0,0,0,30.8
5931813,Squamish-Lillooet,Bridge River 1,Indian reserve,50,10,60,0,0,0,0,10.9
5931814,Squamish-Lillooet,Cayoosh Creek 1,Indian reserve,15,0,15,0,0,0,0,5.7
5931815,Squamish-Lillooet,Chilhil 6,Indian reserve,20,0,20,0,0,0,0,25.7
5931816,Squamish-Lillooet,Fountain  1,Indian reserve,20,0,20,0,10,0,0,15.4
5931821,Squamish-Lillooet,Lillooet 1,Indian reserve,55,10,65,0,10,0,0,10.2
5931823,Squamish-Lillooet,McCartney's Flat 4,Indian reserve,10,0,10,0,0,0,0,10.2
5931829,Squamish-Lillooet,Pavilion 1,Indian reserve,25,0,25,0,0,0,0,30.2
5931831,Squamish-Lillooet,Slosh 1,Indian reserve,40,20,60,0,15,0,0,10.4
5931842,Squamish-Lillooet,Fountain  1B,Indian reserve,10,0,10,0,0,0,0,15.5
5931843,Squamish-Lillooet,Mount Currie,Indian reserve,195,60,255,20,55,0,10,15.4
5931844,Squamish-Lillooet,Nequatque,Indian reserve,50,20,70,0,0,0,0,20.3
5933006,Thompson-Nicola,Merritt,City,2195,225,2420,15,225,35,75,7
5933008,Thompson-Nicola,Thompson-Nicola M,Regional district electoral area,615,35,650,0,55,0,0,15.7
5933019,Thompson-Nicola,Ashcroft,Village,420,50,470,0,50,0,0,10.4
5933024,Thompson-Nicola,Cache Creek,Village,360,0,360,0,30,0,0,10.7
5933035,Thompson-Nicola,Logan Lake,District municipality,545,70,615,0,25,0,0,18.2
5933039,Thompson-Nicola,Thompson-Nicola J (Copper Desert Country),Regional district electoral area,515,50,565,0,0,0,15,25.5
5933042,Thompson-Nicola,Kamloops,City,32355,2725,35080,1795,2205,495,775,15.2
5933044,Thompson-Nicola,Thompson-Nicola P (Rivers and the Peaks),Regional district electoral area,1415,70,1485,0,85,0,20,30.2
5933045,Thompson-Nicola,Sun Peaks Mountain,Village,115,0,115,0,55,0,0,10.7
5933054,Thompson-Nicola,Chase,Village,690,35,725,0,135,45,15,10.6
5933067,Thompson-Nicola,Clearwater,District municipality,750,130,880,0,50,0,0,10.5
5933068,Thompson-Nicola,Thompson-Nicola A (Wells Gray Country),Regional district electoral area,365,75,440,0,40,0,0,15.2
5933801,Thompson-Nicola,Coldwater 1,Indian reserve,75,25,100,0,0,0,0,15.3
5933802,Thompson-Nicola,Douglas Lake 3,Indian reserve,35,0,35,0,0,0,0,20.4
5933805,Thompson-Nicola,Joeyaska 2,Indian reserve,10,0,10,0,0,0,0,15.2
5933806,Thompson-Nicola,Nicola Lake 1,Indian reserve,35,10,45,0,0,0,0,20.4
5933807,Thompson-Nicola,Nicola Mameet 1,Indian reserve,100,25,125,0,10,0,0,15.1
5933808,Thompson-Nicola,Nooaitch 10,Indian reserve,35,10,45,0,10,0,0,30
5933809,Thompson-Nicola,Paul's Basin 2,Indian reserve,0,0,0,0,0,0,0,0
5933812,Thompson-Nicola,Bonaparte 3,Indian reserve,40,0,40,0,0,0,0,10.5
5933814,Thompson-Nicola,Canoe Creek 1,Indian reserve,10,0,10,0,0,0,0,15.5
5933817,Thompson-Nicola,Skeetchestn,Indian reserve,75,10,85,0,10,0,0,10.5
5933825,Thompson-Nicola,Inklyuhkinatko 2,Indian reserve,15,0,15,0,0,0,0,10.2
5933829,Thompson-Nicola,Klahkamich 17,Indian reserve,10,10,20,0,0,0,0,15.1
5933832,Thompson-Nicola,Klickkumcheen 18,Indian reserve,20,0,20,0,10,0,0,10.2
5933833,Thompson-Nicola,Inkluckcheen,Indian reserve,45,15,60,0,0,0,0,7.1
5933836,Thompson-Nicola,Lower Hat Creek 2,Indian reserve,15,0,15,0,0,0,0,25.5
5933838,Thompson-Nicola,Neskonlith,Indian reserve,45,15,60,0,10,0,0,20
5933844,Thompson-Nicola,Ashcroft 4,Indian reserve,10,0,10,0,0,0,0,10.9
5933849,Thompson-Nicola,Siska Flat,Indian reserve,20,10,30,0,10,0,0,10.8
5933851,Thompson-Nicola,Nicomen 1,Indian reserve,0,0,0,0,15,0,0,5.7
5933853,Thompson-Nicola,Nuuautin 2,Indian reserve,15,10,25,0,0,0,0,10.5
5933859,Thompson-Nicola,Shackan 11,Indian reserve,0,0,0,0,0,0,0,30.3
5933872,Thompson-Nicola,Marble Canyon 3,Indian reserve,15,0,15,0,0,0,0,5.7
5933873,Thompson-Nicola,Stryen 9,Indian reserve,10,0,10,0,0,0,0,30.5
5933877,Thompson-Nicola,Whispering Pines 4,Indian reserve,20,10,30,0,0,0,0,30.1
5933880,Thompson-Nicola,Kamloops 1,Indian reserve,990,90,1080,0,30,15,0,10.8
5933884,Thompson-Nicola,Sahhaltkum 4,Indian reserve,80,0,80,0,10,0,0,10.1
5933887,Thompson-Nicola,North Thompson 1,Indian reserve,70,10,80,0,10,0,0,10.9
5933896,Thompson-Nicola,Nekliptum  1,Indian reserve,15,0,15,0,0,0,0,10.9
5935010,Central Okanagan,Kelowna,City,42650,2890,45540,2170,3020,1900,1035,15.3
5935012,Central Okanagan,Central Okanagan,Regional district electoral area,1525,60,1585,0,120,0,30,20.4
5935016,Central Okanagan,Lake Country,District municipality,4840,320,5160,80,185,20,120,20.5
5935018,Central Okanagan,Peachland,District municipality,1760,85,1845,30,35,10,55,20.7
5935020,Central Okanagan,Central Okanagan J,Regional district electoral area,880,80,960,0,0,0,10,30.1
5935029,Central Okanagan,West Kelowna,District municipality,11570,835,12405,395,375,130,215,16
5935802,Central Okanagan,Tsinstikeptum  9,Indian reserve,1685,150,1835,50,90,30,35,20.2
5935803,Central Okanagan,Tsinstikeptum 10,Indian reserve,365,35,400,0,0,0,0,15.5
5937010,North Okanagan,Coldstream,District municipality,3815,240,4055,60,105,90,70,15.4
5937014,North Okanagan,Vernon,City,12565,825,13390,340,1260,290,355,10.9
5937017,North Okanagan,North Okanagan B,Regional district electoral area,1220,55,1275,35,50,0,25,15.1
5937021,North Okanagan,North Okanagan C,Regional district electoral area,1420,50,1470,50,55,10,65,15.3
5937022,North Okanagan,North Okanagan D,Regional district electoral area,970,50,1020,0,0,0,80,25.3
5937024,North Okanagan,Spallumcheen,District municipality,1705,175,1880,0,100,0,80,15.4
5937028,North Okanagan,Armstrong,City,1565,180,1745,20,105,95,0,15.6
5937033,North Okanagan,Enderby,City,865,105,970,0,40,30,0,17.9
5937041,North Okanagan,North Okanagan F,Regional district electoral area,1350,80,1430,0,85,0,20,20.5
5937801,North Okanagan,Okanagan (Part) 1,Indian reserve,490,30,520,0,0,0,10,25.2
5937802,North Okanagan,Enderby 2,Indian reserve,85,10,95,0,0,0,0,15.5
5937803,North Okanagan,Priest's Valley 6,Indian reserve,135,0,135,0,0,0,0,15.7
5939019,Columbia-Shuswap,Revelstoke,City,2090,265,2355,40,430,375,45,10.2
5939023,Columbia-Shuswap,Columbia-Shuswap B,Regional district electoral area,220,0,220,0,35,0,0,12.8
5939032,Columbia-Shuswap,Salmon Arm,City,5625,530,6155,75,565,80,85,10.3
5939037,Columbia-Shuswap,Columbia-Shuswap C,Regional district electoral area,1955,145,2100,0,60,0,25,20.6
5939039,Columbia-Shuswap,Columbia-Shuswap D,Regional district electoral area,1405,50,1455,0,20,0,85,20.4
5939043,Columbia-Shuswap,Columbia-Shuswap E,Regional district electoral area,380,55,435,0,25,0,15,15.9
5939803,Columbia-Shuswap,North Bay 5,Indian reserve,10,10,20,0,0,0,0,20.5
5939804,Columbia-Shuswap,Okanagan (Part) 1,Indian reserve,25,0,25,0,0,0,0,20.5
5939805,Columbia-Shuswap,Quaaout 1,Indian reserve,70,0,70,0,10,0,0,7.7
5939806,Columbia-Shuswap,Salmon River 1,Indian reserve,10,0,10,0,0,0,0,15.9
5939808,Columbia-Shuswap,Switsemalph 3,Indian reserve,15,10,25,0,0,0,0,10.6
5939811,Columbia-Shuswap,Switsemalph,Indian reserve,25,10,35,0,0,0,0,20.4
5941009,Cariboo,Williams Lake,City,3655,550,4205,155,340,65,80,10.3
5941010,Cariboo,Cariboo D,Regional district electoral area,1185,125,1310,90,25,0,35,15.3
5941012,Cariboo,Cariboo E,Regional district electoral area,1810,100,1910,55,40,0,20,15.3
5941013,Cariboo,Quesnel,City,3235,300,3535,70,370,45,25,10.5
5941014,Cariboo,Cariboo F,Regional district electoral area,1505,130,1635,100,120,0,55,25
5941015,Cariboo,Cariboo G,Regional district electoral area,1730,155,1885,0,65,0,15,15.6
5941016,Cariboo,Cariboo H,Regional district electoral area,240,25,265,0,15,0,0,20.9
5941017,Cariboo,Cariboo L,Regional district electoral area,1275,100,1375,0,50,0,0,15.9
5941019,Cariboo,Cariboo A,Regional district electoral area,2340,135,2475,0,110,0,15,15.1
5941021,Cariboo,Cariboo B,Regional district electoral area,1650,150,1800,0,30,0,25,15.8
5941025,Cariboo,Wells,District municipality,80,0,80,0,10,0,0,5.4
5941026,Cariboo,Cariboo C,Regional district electoral area,465,40,505,0,0,0,0,15.7
5941027,Cariboo,Cariboo I,Regional district electoral area,625,15,640,0,0,0,0,20
5941039,Cariboo,Cariboo J,Regional district electoral area,115,0,115,0,40,0,0,15.4
5941801,Cariboo,Alkali Lake 1,Indian reserve,60,0,60,0,25,0,0,10
5941802,Cariboo,Canim Lake 1,Indian reserve,55,25,80,0,0,0,0,5.8
5941805,Cariboo,Deep Creek 2,Indian reserve,30,0,30,0,0,0,0,15
5941806,Cariboo,Dog Creek 1,Indian reserve,25,0,25,0,10,0,0,10.7
5941808,Cariboo,Lohbiee 3,Indian reserve,15,0,15,0,0,0,0,5.6
5941809,Cariboo,Quesnel 1,Indian reserve,15,10,25,0,0,0,0,15.4
5941812,Cariboo,Williams Lake 1,Indian reserve,45,0,45,0,10,0,0,10.4
5941821,Cariboo,Anahim's Flat 1,Indian reserve,65,15,80,0,15,0,0,10.8
5941828,Cariboo,Chilco Lake 1,Indian reserve,15,0,15,0,0,0,0,30.1
5941837,Cariboo,Nazco 20,Indian reserve,15,15,30,0,0,0,0,45.5
5941839,Cariboo,Redstone Flat 1,Indian reserve,10,0,10,0,0,0,0,6.7
5941840,Cariboo,Squinas 2,Indian reserve,15,0,15,0,10,0,0,6
5941841,Cariboo,Stone 1,Indian reserve,15,10,25,0,10,0,0,20.4
5941850,Cariboo,Toosey 1,Indian reserve,20,0,20,0,0,0,0,5.4
5941880,Cariboo,Ulkatcho 14A,Indian reserve,20,15,35,0,10,0,0,10.3
5941882,Cariboo,Alexandria,Indian reserve,10,10,20,0,0,0,0,45.4
5943008,Mount Waddington,Alert Bay,Village,115,0,115,0,110,0,0,5.9
5943012,Mount Waddington,Port McNeill,Town,990,110,1100,0,200,70,25,6
5943023,Mount Waddington,Port Hardy,District municipality,1550,160,1710,0,285,0,50,10.4
5943027,Mount Waddington,Mount Waddington B,Regional district electoral area,20,0,20,0,15,0,0,10.1
5943033,Mount Waddington,Mount Waddington D,Regional district electoral area,55,0,55,0,0,0,0,5.7
5943037,Mount Waddington,Mount Waddington A,Regional district electoral area,140,0,140,15,70,0,25,10.9
5943804,Mount Waddington,Fort Rupert 1,Indian reserve,10,0,10,0,0,0,0,15.1
5943806,Mount Waddington,Tsulquate 4,Indian reserve,40,15,55,0,35,0,0,10.2
5943808,Mount Waddington,Gwayasdums 1,Indian reserve,0,0,0,0,15,0,0,3.4
5943813,Mount Waddington,Quaee 7,Indian reserve,0,0,0,0,20,0,10,5.7
5943815,Mount Waddington,Kippase 2,Indian reserve,40,15,55,0,10,0,0,15.7
5943816,Mount Waddington,Quatsino Subdivision 18,Indian reserve,35,15,50,0,15,0,0,15.1
5943837,Mount Waddington,Alert Bay,Indian reserve,95,10,105,0,40,0,10,5.6
5945012,Central Coast,Central Coast D,Regional district electoral area,150,0,150,0,0,0,0,10.4
5945801,Central Coast,Bella Bella 1,Indian reserve,110,40,150,10,190,0,10,6
5945802,Central Coast,Bella Coola 1,Indian reserve,135,20,155,0,15,0,15,5.9
5945803,Central Coast,Katit 1,Indian reserve,10,0,10,0,10,0,0,5.6
5947012,Skeena-Queen Charlotte,Prince Rupert,City,3885,415,4300,200,640,80,90,7.4
5947803,Skeena-Queen Charlotte,Masset 1,Indian reserve,120,50,170,0,35,0,10,5.8
5947804,Skeena-Queen Charlotte,Skidegate 1,Indian reserve,195,10,205,0,30,0,0,10.2
5947807,Skeena-Queen Charlotte,Dolphin Island 1,Indian reserve,10,10,20,0,55,0,0,5.2
5949005,Kitimat-Stikine,Kitimat,District municipality,3110,245,3355,40,180,30,55,10.6
5949011,Kitimat-Stikine,Terrace,City,3840,420,4260,65,610,205,85,10.1
5949013,Kitimat-Stikine,Kitimat-Stikine C (Part 1),Regional district electoral area,1190,65,1255,0,0,0,65,16
5949018,Kitimat-Stikine,Kitimat-Stikine E,Regional district electoral area,1605,135,1740,50,40,15,30,10.7
5949022,Kitimat-Stikine,Hazelton,Village,105,0,105,0,30,0,0,10.7
5949024,Kitimat-Stikine,New Hazelton,District municipality,155,0,155,0,35,0,0,15.3
5949028,Kitimat-Stikine,Kitimat-Stikine B,Regional district electoral area,585,0,585,0,20,0,0,20.9
5949802,Kitimat-Stikine,Kitasoo 1,Indian reserve,20,10,30,0,90,0,10,5.5
5949803,Kitimat-Stikine,Kitamaat 2,Indian reserve,75,15,90,0,30,0,0,5.9
5949807,Kitimat-Stikine,Kulspai 6,Indian reserve,15,0,15,0,0,0,0,11
5949810,Kitimat-Stikine,Coryatsaqua (Moricetown) 2,Indian reserve,25,10,35,0,0,0,0,7
5949811,Kitimat-Stikine,Hagwilget 1,Indian reserve,35,0,35,0,10,0,0,15.7
5949812,Kitimat-Stikine,Gitanmaax 1,Indian reserve,115,10,125,0,45,0,0,5.9
5949813,Kitimat-Stikine,Kispiox 1,Indian reserve,75,10,85,0,20,0,0,15.1
5949816,Kitimat-Stikine,Gitwangak 1,Indian reserve,45,0,45,0,10,0,0,5.7
5949817,Kitimat-Stikine,Moricetown 1,Indian reserve,45,0,45,0,25,0,0,8.7
5949818,Kitimat-Stikine,Sik-e-dakh 2,Indian reserve,25,0,25,0,0,0,0,15.1
5949819,Kitimat-Stikine,Babine 17,Indian reserve,35,10,45,0,10,0,0,10.2
5949832,Kitimat-Stikine,Iskut 6,Indian reserve,30,15,45,0,15,0,0,10.3
5949843,Kitimat-Stikine,Guhthe Tah 12,Indian reserve,25,0,25,0,15,0,0,5.8
5949844,Kitimat-Stikine,Kitselas 1,Indian reserve,40,0,40,0,0,0,0,20.3
5949845,Kitimat-Stikine,Dease Lake 9,Indian reserve,0,10,10,0,0,0,0,10.2
5951007,Bulkley-Nechako,Vanderhoof,District municipality,1550,105,1655,0,170,35,0,7.6
5951009,Bulkley-Nechako,Fraser Lake,Village,430,45,475,0,45,0,0,12.1
5951013,Bulkley-Nechako,Fort St. James,District municipality,550,25,575,10,85,0,0,10.2
5951015,Bulkley-Nechako,Bulkley-Nechako C,Regional district electoral area,595,50,645,0,10,0,0,15.3
5951022,Bulkley-Nechako,Burns Lake,Village,550,100,650,0,160,0,0,10.5
5951028,Bulkley-Nechako,Bulkley-Nechako B,Regional district electoral area,840,40,880,0,30,0,0,10.9
5951031,Bulkley-Nechako,Bulkley-Nechako E,Regional district electoral area,455,0,455,0,0,0,0,25.8
5951032,Bulkley-Nechako,Granisle,Village,50,0,50,0,0,0,0,140
5951034,Bulkley-Nechako,Houston,District municipality,1200,120,1320,0,80,0,80,10.4
5951038,Bulkley-Nechako,Telkwa,Village,580,65,645,0,15,0,30,15.8
5951043,Bulkley-Nechako,Smithers,Town,1780,210,1990,10,410,100,75,6.3
5951051,Bulkley-Nechako,Bulkley-Nechako A,Regional district electoral area,2095,255,2350,25,60,35,60,15.1
5951053,Bulkley-Nechako,Bulkley-Nechako G,Regional district electoral area,365,0,365,0,15,0,0,15.7
5951801,Bulkley-Nechako,Ye Koo Che 3,Indian reserve,10,0,10,0,10,0,0,5.5
5951802,Bulkley-Nechako,Nautley (Fort Fraser) 1,Indian reserve,15,0,15,0,0,0,0,15.3
5951803,Bulkley-Nechako,Nak'azdli (Necoslie 1),Indian reserve,95,30,125,0,35,10,10,10.4
5951805,Bulkley-Nechako,Binche 2 (Pinchie 2),Indian reserve,15,10,25,0,0,0,0,20.7
5951807,Bulkley-Nechako,Stellaquo (Stella) 1,Indian reserve,65,0,65,0,15,0,0,10.8
5951809,Bulkley-Nechako,Stony Creek 1,Indian reserve,50,15,65,0,10,0,10,15.3
5951810,Bulkley-Nechako,Tache 1,Indian reserve,30,15,45,0,40,0,0,10.2
5951815,Bulkley-Nechako,Burns Lake 18,Indian reserve,20,0,20,0,0,0,0,5.9
5951818,Bulkley-Nechako,Cheslatta 1,Indian reserve,10,0,10,0,0,0,0,0
5951827,Bulkley-Nechako,Woyenne 27,Indian reserve,30,10,40,0,0,0,0,15.1
5951828,Bulkley-Nechako,Babine  6,Indian reserve,0,0,0,0,10,0,0,5.2
5951829,Bulkley-Nechako,Babine 25,Indian reserve,10,0,10,0,0,0,0,0
5951848,Bulkley-Nechako,North Tacla Lake,Indian reserve,25,15,40,0,15,0,0,5.8
5953007,Fraser-Fort George,Valemount,Village,290,25,315,15,65,20,0,10.2
5953012,Fraser-Fort George,McBride,Village,85,15,100,0,80,0,0,5.9
5953019,Fraser-Fort George,Fraser-Fort George H,Regional district electoral area,565,15,580,0,75,0,0,10.6
5953023,Fraser-Fort George,Prince George,City,28820,2380,31200,925,1475,410,590,15.1
5953033,Fraser-Fort George,Mackenzie,District municipality,1400,130,1530,0,245,15,25,10.3
5953038,Fraser-Fort George,Fraser-Fort George A,Regional district electoral area,1440,65,1505,15,0,0,0,30.1
5953042,Fraser-Fort George,Fraser-Fort George C,Regional district electoral area,1575,40,1615,0,0,0,25,20.9
5953044,Fraser-Fort George,Fraser-Fort George D,Regional district electoral area,1700,105,1805,25,0,0,50,20.4
5953048,Fraser-Fort George,Fraser-Fort George F,Regional district electoral area,470,25,495,0,0,0,0,20.6
5953802,Fraser-Fort George,McLeod Lake 1,Indian reserve,20,0,20,0,10,0,0,5.9
5955003,Peace River,Tumbler Ridge,District municipality,840,120,960,325,135,0,0,20.9
5955010,Peace River,Chetwynd,District municipality,1030,155,1185,45,120,0,10,10.2
5955014,Peace River,Dawson Creek,City,4735,500,5235,55,495,75,50,10
5955021,Peace River,Peace River D,Regional district electoral area,1930,90,2020,30,40,0,50,20.1
5955025,Peace River,Hudson's Hope,District municipality,380,40,420,0,60,0,0,5.9
5955030,Peace River,Taylor,District municipality,610,65,675,0,25,0,0,20
5955034,Peace River,Fort St. John,City,8500,820,9320,35,930,65,85,10.2
5955040,Peace River,Peace River B,Regional district electoral area,1585,100,1685,0,55,0,60,26.7
5955042,Peace River,Peace River C,Regional district electoral area,2775,170,2945,15,125,0,20,10.8
5955801,Peace River,East Moberly Lake 169,Indian reserve,70,30,100,0,0,0,0,30.6
5955802,Peace River,West Moberly Lake 168A,Indian reserve,20,0,20,0,0,0,0,10.8
5955803,Peace River,Blueberry River 205,Indian reserve,20,15,35,0,10,0,0,15.5
5955807,Peace River,Fort Ware 1,Indian reserve,15,20,35,0,25,0,0,10.4
5955808,Peace River,Halfway River 168,Indian reserve,30,15,45,0,10,0,0,10.7
5955812,Peace River,Ingenika Point,Indian settlement,15,10,25,0,10,0,0,6
5957803,Stikine,Five Mile Point  3,Indian reserve,20,0,20,0,0,0,0,10.5
5957813,Stikine,Lower Post,Indian settlement,20,0,20,0,15,0,0,5.5
5957814,Stikine,Liard River 3,Indian reserve,15,0,15,0,0,0,0,7.7
5959007,Northern Rockies,Northern Rockies,Regional municipality,2350,165,2515,0,250,40,60,10.1
5959806,Northern Rockies,Fort Nelson 2,Indian reserve,100,20,120,0,10,0,0,10.6
5959810,Northern Rockies,Prophet River 4,Indian reserve,20,10,30,0,15,0,0,5.9