Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income
5901003,Elkford,East Kootenay,District municipality,50.06202327,-114.8769039,270091,793,872,9.1,15.2,0,830,440,30,0,0,30,40,255,325,370,830,165,0,88369,0,0,15,0,80,20,35,20,65,135,240,145,200,110546
5901006,Sparwood,East Kootenay,District municipality,49.7589181,-114.7975361,274984,499,743,6.1,39.3,9.5,1560,170,150,0,10,10.7,150,235,680,520,1170,420,0,71791,35,20,95,75,75,65,150,80,140,160,225,135,335,85778
5901012,Fernie,East Kootenay,City,49.5049447,-115.0574664,424185,1179,735,21.8,34.6,17.9,1855,80,315,130,0,10.3,230,405,730,625,1455,530,0,69924,90,45,30,60,170,175,130,105,180,315,285,145,255,80358
5901022,Cranbrook,East Kootenay,City,49.53797084,-115.7686883,279633,940,744,19.1,48.4,21.2,7360,100,945,90,145,10.2,455,2420,2580,2685,6300,1840,0,53162,255,125,285,505,755,685,760,825,1335,925,785,455,445,57700
5901028,Kimberley,East Kootenay,City,49.66786367,-115.9827769,276035,792,751,16.4,45.7,17.5,2245,60,280,60,85,15.7,285,745,1185,725,2260,685,0,51592,45,30,90,130,300,390,325,265,455,415,335,95,70,57940
5901035,East Kootenay C,East Kootenay,Regional district electoral area,49.50511767,-115.5924456,400686,589,697,11.4,18.4,0,2585,55,45,0,0,15.1,85,400,945,840,2015,240,0,68038,65,20,20,80,70,170,215,180,290,390,330,145,290,80663
5901039,Invermere,East Kootenay,District municipality,50.49987674,-116.0357588,399764,1081,1099,15.6,39.2,24.3,1065,20,170,0,0,10.4,125,275,385,400,810,375,0,60761,0,0,0,60,130,125,60,115,145,140,155,95,120,70917
5901046,East Kootenay F,East Kootenay,Regional district electoral area,50.32227242,-115.7995435,551706,752,803,24.1,8.6,0,1045,0,95,0,25,11,90,165,425,390,890,175,0,66849,0,0,0,0,60,60,100,130,200,150,175,75,95,74207
5901801,Tobacco Plains 2,East Kootenay,Indian reserve,49.04705492,-115.101005,0,0,0,Null,Null,0,25,0,0,0,0,10.4,0,0,0,10,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901803,Kootenay 1,East Kootenay,Indian reserve,49.63643242,-115.7338328,Null,Null,Null,Null,Null,Null,35,0,0,0,0,17.7,0,10,10,15,25,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901804,Columbia Lake 3,East Kootenay,Indian reserve,50.41327989,-115.9101037,0,0,0,Null,Null,0,60,0,0,0,0,15.7,0,10,25,15,40,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5901806,Shuswap,East Kootenay,Indian reserve,50.53726316,-116.0202544,0,0,0,0,0,0,120,0,15,0,0,10.8,0,45,45,30,85,30,0,45115,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,47902
5903004,Creston,Central Kootenay,Town,49.10573447,-116.5143528,269104,493,756,11.7,59.5,30.2,1580,0,345,85,0,6,340,910,720,495,1880,580,0,41833,60,20,70,365,330,275,240,170,415,175,205,100,35,46077
5903013,Central Kootenay B,Central Kootenay,Regional district electoral area,49.22966143,-116.3065355,348241,417,604,12.8,42.5,0,1150,0,75,15,0,10.8,130,540,650,455,1575,205,0,46723,45,0,50,110,220,305,75,110,220,145,230,65,125,50513
5903015,Nelson,Central Kootenay,City,49.48024304,-117.3663185,349879,717,801,20.7,47.1,15.8,2740,180,1315,170,105,10.8,850,1230,1550,1000,2920,1710,0,43874,105,85,240,280,605,565,485,310,655,455,320,175,335,48077
5903023,Kaslo,Central Kootenay,Village,49.90950038,-116.9101037,199907,348,484,24.2,51.9,61.5,175,0,65,0,0,10,110,130,145,90,335,130,0,35072,0,0,0,0,90,95,40,20,35,15,75,0,0,38451
5903032,New Denver,Central Kootenay,Village,49.98925166,-117.3768812,299055,1000,574,19,0,0,105,0,30,0,0,10.6,0,120,70,30,210,25,0,42852,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,43124
5903041,Central Kootenay E,Central Kootenay,Regional district electoral area,49.53310199,-117.1226474,349874,467,825,21.7,46.7,10.9,1475,0,160,0,20,15.8,105,695,565,330,1465,230,0,43463,100,0,135,65,180,230,195,150,180,215,110,55,65,46112
5903043,Central Kootenay F,Central Kootenay,Regional district electoral area,49.58330357,-117.3303334,401238,663,866,24.3,26.5,0,1730,40,0,0,35,17.4,135,365,695,485,1510,165,0,59881,0,35,20,60,135,135,265,100,210,215,175,150,165,66893
5903045,Castlegar,Central Kootenay,City,49.30122989,-117.6718981,274954,866,632,15.2,42.7,16.1,2890,55,315,35,35,11,235,700,1305,1105,2630,720,0,49348,50,55,95,290,345,445,260,235,425,380,335,170,255,54279
5903050,Nakusp,Central Kootenay,Village,50.24995904,-117.7975537,250237,521,631,21.6,25.6,20.9,380,0,105,0,0,10.2,95,215,190,225,515,210,0,37235,0,0,55,45,155,110,90,45,95,55,30,0,25,39148
5903052,Central Kootenay H,Central Kootenay,Regional district electoral area,49.85292045,-117.5315863,300121,507,524,28.9,48.3,5.2,1470,50,40,0,30,25.6,290,620,775,325,1725,290,0,41275,95,150,90,250,145,210,210,175,325,210,95,35,0,41420
5903058,Central Kootenay J,Central Kootenay,Regional district electoral area,49.43319298,-117.9637721,297373,557,1041,9.7,41.7,0,1365,0,0,0,0,15.7,75,405,295,425,1085,125,0,61318,10,0,0,40,45,145,135,125,165,210,140,95,85,73289
5903807,Creston 1,Central Kootenay,Indian reserve,49.0571249,-116.5292701,0,0,0,Null,Null,0,25,0,0,0,0,5.5,0,0,20,10,15,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5905005,Fruitvale,Kootenay Boundary,Village,49.11079092,-117.5506685,240278,558,528,9.6,50,15.6,705,0,35,0,0,15.9,95,160,245,345,680,155,0,60017,45,20,70,35,80,35,50,25,140,55,130,70,75,63666
5905009,Montrose,Kootenay Boundary,Village,49.07794579,-117.5905652,269836,452,0,12.3,0,0,435,0,0,0,0,12.3,40,30,185,180,405,0,0,67988,0,0,0,0,30,20,25,30,70,60,50,35,65,78435
5905014,Trail,Kootenay Boundary,City,49.08953303,-117.7131748,200551,576,608,16.1,53.6,16.6,2545,40,310,0,10,10.5,560,1065,1320,735,2770,905,0,43719,35,130,250,235,405,530,285,280,455,390,315,150,205,48085
5905018,Warfield,Kootenay Boundary,Village,49.09459693,-117.7467284,250319,652,654,8.8,18.5,0,660,65,80,0,0,10.7,50,170,350,200,630,140,0,58459,0,20,0,0,80,35,65,65,125,140,60,65,65,67958
5905023,Rossland,Kootenay Boundary,City,49.12178638,-117.8464516,299936,754,701,17,40,0,1375,15,155,0,70,12.1,120,210,725,400,1205,255,0,64081,45,0,20,65,135,145,115,80,170,155,165,160,185,72610
5905026,Kootenay Boundary A,Kootenay Boundary,Regional district electoral area,49.10031026,-117.5828677,299657,668,662,10.1,27.8,0,680,0,40,0,10,19,0,105,315,290,625,95,0,63685,0,0,0,65,30,65,25,65,70,150,55,85,65,77644
5905032,Grand Forks,Kootenay Boundary,City,49.03066527,-118.4466388,240503,570,720,18.9,54.3,12.2,970,0,205,80,0,7.8,95,600,745,400,1430,405,0,40219,65,35,35,265,275,205,135,140,315,150,95,45,80,42380
5905037,Midway,Kootenay Boundary,Village,49.00887697,-118.7990369,219892,456,683,34,0,0,120,0,0,0,0,10.7,40,95,90,85,250,55,0,36354,25,0,30,0,45,40,35,50,0,30,0,0,0,37122
5907005,Osoyoos,Okanagan-Similkameen,Town,49.02630628,-119.4705437,375982,484,776,17.6,53.7,0,1160,20,260,0,35,10.7,105,765,870,515,1845,420,0,44516,45,40,45,130,260,350,285,220,340,195,120,145,80,49560
5907024,Princeton,Okanagan-Similkameen,Town,49.46354165,-120.5070402,250439,418,552,10.9,62.7,0,780,0,90,0,25,5.9,355,305,430,295,1010,375,0,39323,20,0,15,300,195,155,80,105,170,90,75,60,110,39406
5907035,Summerland,Okanagan-Similkameen,District municipality,49.61491997,-119.7044434,399691,541,907,18.6,44.5,12.9,3765,15,360,65,70,15.7,470,1555,1435,1295,3975,780,0,51445,45,85,155,330,550,630,405,355,565,605,380,240,395,56380
5907041,Penticton,Okanagan-Similkameen,City,49.49557397,-119.569818,349192,738,826,19.9,54.4,18.5,10655,160,1660,470,340,10.4,2635,5325,3940,3330,9730,5500,0,40994,465,335,475,1485,2100,1940,1790,1330,1900,1280,900,580,640,43998
5907047,Okanagan-Similkameen D,Okanagan-Similkameen,Regional district electoral area,49.37295218,-119.5347071,399428,694,742,19.9,40,16.1,2350,0,115,30,80,15.8,50,745,950,690,2270,165,0,52916,55,0,0,85,445,325,130,135,435,195,175,175,260,61773
5907051,Okanagan-Similkameen F,Okanagan-Similkameen,Regional district electoral area,49.61502629,-119.8728454,518734,982,1009,16.7,30,0,870,0,0,0,20,11,30,80,230,435,715,50,0,71520,0,0,0,20,70,85,60,35,100,80,75,75,155,80408
5907801,Lower Similkameen 2,Okanagan-Similkameen,Indian reserve,49.1180136,-119.7383549,0,0,0,Null,Null,0,15,0,0,0,0,17,0,0,0,10,10,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907802,Osoyoos 1,Okanagan-Similkameen,Indian reserve,49.15056999,-119.4898125,0,0,0,0,0,0,205,0,0,0,0,10.7,10,130,95,35,245,20,10,36668,10,0,15,20,65,35,40,25,35,10,0,15,0,37405
5907803,Penticton 1,Okanagan-Similkameen,Indian reserve,49.47735232,-119.6847939,0,0,0,0,0,0,370,10,20,0,0,10.7,60,480,140,90,685,55,25,35427,25,25,30,50,150,155,75,80,85,50,20,0,15,36887
5907805,Chopaka 7 & 8,Okanagan-Similkameen,Indian reserve,49.03453818,-119.7207842,0,0,0,Null,Null,0,20,0,0,0,0,20.7,0,0,15,10,20,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907807,Chuchuwayha 2,Okanagan-Similkameen,Indian reserve,49.35301237,-120.0780094,0,0,0,Null,Null,0,20,0,10,0,0,10.5,0,10,10,10,10,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5907809,Ashnola 10,Okanagan-Similkameen,Indian reserve,49.24014901,-120.0214755,0,0,0,Null,Null,0,10,0,0,0,0,30.5,0,0,0,10,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909009,Hope,Fraser Valley,District municipality,49.38000687,-121.4546514,285658,485,701,18,50,6.5,1820,0,230,30,35,10.5,240,725,910,755,2015,620,0,41421,65,105,125,195,360,345,255,340,270,270,110,85,115,44138
5909014,Fraser Valley A,Fraser Valley,Regional district electoral area,49.91430291,-121.6861602,110048,294,649,10,43.8,37.5,110,0,10,0,0,6.2,0,90,40,40,145,80,0,39172,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,41220
5909020,Chilliwack,Fraser Valley,City,49.1425914,-121.9294712,341274,1064,800,22.4,51.1,13.7,30410,475,1445,585,490,15.7,3300,7870,10150,9140,22760,7695,0,51584,880,445,1095,2130,2820,3335,2780,2565,4665,3565,2760,1605,1820,56513
5909027,Harrison Hot Springs,Fraser Valley,Village,49.29755341,-121.7839892,349743,966,832,25.7,52.4,0,355,0,50,0,0,20.1,30,220,300,115,560,100,0,48735,0,0,0,40,60,80,100,60,85,70,65,45,20,50670
5909032,Kent,Fraser Valley,District municipality,49.28164106,-121.7801657,324838,838,650,21.2,67.1,29,1715,0,160,30,30,15.5,190,415,890,550,1690,365,0,51189,100,90,100,145,185,170,175,115,380,250,165,80,100,57348
5909034,Fraser Valley D,Fraser Valley,Regional district electoral area,49.22155481,-121.6325769,429930,565,758,22.8,0,0,560,0,0,0,0,20.6,25,55,220,175,455,20,0,61606,0,0,0,0,0,100,10,60,100,75,75,0,15,71879
5909036,Fraser Valley E,Fraser Valley,Regional district electoral area,49.0682349,-121.6542366,376164,478,1002,24.3,25,0,1380,0,0,0,20,21,80,505,515,330,1265,160,0,48386,60,40,0,70,180,165,150,140,245,130,110,40,105,53045
5909052,Abbotsford,Fraser Valley,City,49.06916685,-122.2853586,393600,1204,801,24,39.2,9.4,54935,1135,1605,500,1055,15.9,5470,13180,11490,16310,34450,12005,0,56876,1195,680,1450,2230,3940,4630,4475,3600,6680,5380,4900,2860,4435,62350
5909056,Mission,Fraser Valley,District municipality,49.23191914,-122.3431669,399607,1453,751,30.5,44.1,16,15085,785,395,80,340,26,885,2180,4700,5015,10260,2530,0,59412,215,270,370,650,1130,1145,1015,925,1890,1885,1430,950,910,65411
5909060,Fraser Valley F,Fraser Valley,Regional district electoral area,49.57109594,-122.4816841,500500,653,1770,14.6,14.3,0,460,70,0,0,20,35.6,40,150,245,75,440,70,0,64233,0,0,0,20,20,30,35,60,215,55,30,10,0,73391
5909804,Chawathil 4,Fraser Valley,Indian reserve,49.37370817,-121.5427844,0,0,0,Null,Null,0,30,0,0,0,0,20.4,0,0,25,20,30,10,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909807,Ohamil 1,Fraser Valley,Indian reserve,49.33843237,-121.6060972,0,0,0,Null,Null,0,0,0,10,0,0,10.5,0,10,10,0,10,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909812,Schkam 2,Fraser Valley,Indian reserve,49.39618458,-121.4563837,0,0,0,Null,Null,0,20,0,0,0,0,10.7,0,10,20,10,10,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909819,Kahmoose 4,Fraser Valley,Indian reserve,49.96225713,-121.4850422,0,0,0,Null,Null,0,20,0,0,0,0,20.1,0,10,10,15,10,0,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909821,Kwawkwawapilt 6,Fraser Valley,Indian reserve,49.1638589,-121.9797089,0,0,0,0,0,0,50,0,0,0,0,10.1,0,155,25,0,195,0,0,33250,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,35093
5909824,Skwah 4,Fraser Valley,Indian reserve,49.17553852,-121.9770677,0,0,0,Null,Null,0,50,0,0,0,0,15.5,10,15,20,15,50,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909826,Skway 5,Fraser Valley,Indian reserve,49.17023119,-121.9954436,0,0,0,Null,Null,0,15,0,0,0,0,15.9,0,10,10,15,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909827,Soowahlie 14,Fraser Valley,Indian reserve,49.08375339,-121.9567854,0,0,0,Null,Null,0,40,0,0,0,0,20.6,0,10,35,15,35,10,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909830,Tzeachten 13,Fraser Valley,Indian reserve,49.11318338,-121.9454186,0,0,0,0,0,0,245,0,0,0,10,15.8,40,445,135,55,640,35,10,43799,30,15,10,55,55,120,110,70,135,45,25,0,10,44834
5909832,Seabird Island,Fraser Valley,Indian reserve,49.27561837,-121.7103923,0,0,0,0,0,0,155,0,15,0,10,5.8,25,55,70,50,80,35,90,33806,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,33806
5909837,Cheam 1,Fraser Valley,Indian reserve,49.19722226,-121.7691781,0,0,0,Null,Null,0,40,0,10,0,0,11,0,15,20,25,35,15,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909839,Chehalis 5,Fraser Valley,Indian reserve,49.29512325,-121.9111652,0,0,0,0,0,0,165,0,10,0,0,8.1,10,25,90,60,150,25,15,38904,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,Null,Null,Null,39160
5909841,Stullawheets 8,Fraser Valley,Indian reserve,49.47094236,-121.4256676,0,0,0,Null,Null,0,10,0,0,0,0,15.3,0,10,10,0,15,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909845,Skookumchuck 4,Fraser Valley,Indian reserve,49.9439108,-122.4113713,0,0,0,Null,Null,0,10,0,10,0,0,10.2,0,10,15,0,15,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909875,Q'alatkÅ_7em,Fraser Valley,Indian reserve,50.05163422,-122.5390504,0,0,0,Null,Null,0,0,0,0,0,0,0,0,0,10,10,10,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909877,Upper Sumas 6,Fraser Valley,Indian reserve,49.05246945,-122.1944114,0,0,0,Null,Null,0,40,0,0,0,0,20.4,0,10,20,20,25,10,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909878,Matsqui Main 2,Fraser Valley,Indian reserve,49.10882768,-122.3512021,0,0,0,Null,Null,0,15,0,0,0,0,5.8,0,0,15,10,10,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909879,Holachten 8,Fraser Valley,Indian reserve,49.20774843,-122.0245057,0,0,0,0,0,0,95,0,0,0,0,35.6,0,50,65,15,105,15,10,37192,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,38180
5909880,Lakahahmen 11,Fraser Valley,Indian reserve,49.18469802,-122.0763367,0,0,0,Null,Null,0,45,0,0,0,0,30.3,10,30,30,10,70,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909881,Skweahm 10,Fraser Valley,Indian reserve,49.17192995,-122.0835705,0,0,0,0,0,0,100,0,0,0,0,20.7,0,25,70,20,105,0,0,44160,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,52079
5909882,Squawkum Creek 3,Fraser Valley,Indian reserve,49.24082283,-121.9997187,0,0,0,Null,Null,0,25,0,0,0,0,20.3,0,0,20,15,15,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5909884,Skowkale,Fraser Valley,Indian reserve,49.13743428,-121.942794,0,0,0,0,0,0,190,0,0,0,0,15.3,80,125,85,55,320,15,15,40906,15,0,10,30,60,45,50,35,45,25,15,0,10,42884
5909885,Squiaala,Fraser Valley,Indian reserve,49.15673187,-121.985862,0,0,0,Null,Null,0,10,0,0,0,0,16,0,10,10,15,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915001,Langley,Greater Vancouver,District municipality,49.09385978,-122.5720065,501361,1381,1001,24.8,40.7,8.1,45310,1740,1635,245,665,25.1,2485,7675,13310,13765,31545,5695,0,68007,890,510,695,1375,2175,3055,2680,2790,5385,4385,4790,3355,5165,76847
5915002,Langley,Greater Vancouver,City,49.09868987,-122.6597286,300696,1162,853,27,48.7,28,10585,570,615,85,135,22.5,2605,4410,2550,1745,7350,3960,0,46438,460,230,485,930,1030,1250,1245,845,1550,1315,885,540,545,50231
5915004,Surrey,Greater Vancouver,City,49.11675572,-122.7842792,500746,1391,794,27.3,37.7,11.3,176075,27040,5465,730,2410,30.2,18025,38135,45465,51225,111660,41185,0,61023,4505,2855,4140,6180,11495,12920,13030,12185,22375,18165,16085,10995,17910,67702
5915007,White Rock,Greater Vancouver,City,49.02576526,-122.805856,450494,850,891,24.9,45.1,10,6735,670,540,60,165,25.7,2350,4270,1740,1515,6725,3140,0,50840,245,180,380,625,1140,935,845,730,1630,905,905,430,905,56946
5915011,Delta,Greater Vancouver,District municipality,49.10009751,-123.0160129,562181,1196,864,20.3,37.2,13.7,38710,4870,1740,640,695,25.9,3175,5855,12080,13640,28140,6615,0,71590,575,490,610,1250,2045,2400,2440,2410,4930,4140,4355,3270,5840,80874
5915015,Richmond,Greater Vancouver,City,49.16296006,-123.1089735,601945,1047,1101,32,47.5,15.3,63790,15125,2930,1055,995,20.8,10385,17125,20860,19605,52420,15555,0,54597,3220,1700,2205,3145,6265,6270,5535,5400,9440,7270,6250,4020,7250,60479
