Geo_Code,CSD_Name,CD_Name,CSD_type,Lat,Lon,Median value of dwellings ($),Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),% of owner households spending 30% or more of household total income on shelter costs,% of tenant households spending 30% or more of household total income on shelter costs, % of tenant households in subsidized housing,"Car, truck or van - total",Public transit,Walked,Bicycle,Other methods,Median commuting duration,0 to 1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Owner,Renter,Band housing,Median after-tax household income,"Household total income Under $5,000","Household total income $5,000 to $9,999","Household total income $10,000 to $14,999","Household total income $15,000 to $19,999","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $50,000 to $59,999","Household total income $60,000 to $79,999","Household total income $80,000 to $99,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $150,000 and over",Private households Median household total income
5915020,Greater Vancouver A,Greater Vancouver,Regional district electoral area,49.45874586,-122.8518262,753578,1293,1226,41.3,68.6,14.9,1795,690,1190,295,80,20.6,1430,2240,685,690,2555,2495,0,34520,755,435,240,275,570,375,260,215,335,305,425,215,640,36089
5915022,Vancouver,Greater Vancouver,City,49.24862007,-123.1078317,752016,1119,1004,28.9,46,14,152120,88290,36960,12855,4570,20.9,107395,70095,36960,50115,128440,136135,0,50116,14115,6855,12250,16550,23885,23065,23490,19445,33690,25370,21650,13935,30270,56113
5915025,Burnaby,Greater Vancouver,City,49.24561785,-122.9652402,600941,1030,966,29.1,46.2,15.2,68000,29240,4490,750,1435,30.1,21135,26315,18075,21315,55125,31710,0,51123,4960,2055,2820,4925,8085,8135,7990,6790,11420,8820,7705,4895,8245,56136
5915029,New Westminster,Greater Vancouver,City,49.20808469,-122.9192862,400729,1338,830,27,44.1,14.7,21745,9725,1905,310,540,30.2,11610,10785,4390,3800,17210,13375,0,49135,1365,705,1225,1865,2765,2955,3125,2635,4410,3120,2420,1655,2335,54664
5915034,Coquitlam,Greater Vancouver,City,49.2973237,-122.7714996,599465,1310,949,27.5,48.2,11.3,46275,10215,2075,290,780,30.4,6895,10665,12365,15635,33880,11675,0,60737,1670,1120,1215,1970,3535,3715,3615,3335,6000,5010,5000,3270,6090,67787
5915036,Belcarra,Greater Vancouver,Village,49.32774062,-122.8997847,1393995,1306,687,26,0,0,290,0,0,0,0,30.8,0,30,115,115,245,20,0,125515,0,0,0,0,10,0,15,0,20,35,20,45,105,139673
5915038,Anmore,Greater Vancouver,Village,49.34482492,-122.8496989,1102094,1949,1604,27,0,0,810,125,15,0,0,30.3,15,50,160,400,575,55,0,114113,0,0,0,0,0,30,20,50,55,80,30,30,310,145286
5915039,Port Coquitlam,Greater Vancouver,City,49.253342,-122.7619225,489678,1426,913,25.7,43.9,19.9,23410,3620,1055,195,330,30.6,2550,4710,7060,6335,16125,4520,0,64463,480,470,500,630,1385,1460,1815,1715,2795,2805,2475,1655,2460,72563
5915043,Port Moody,Greater Vancouver,City,49.29794439,-122.8700103,539932,1529,1281,25.1,40.7,11.3,12845,2620,315,100,255,30.6,1325,3740,4305,3265,9715,2920,0,69042,375,230,210,390,635,805,970,875,1825,1535,1530,1150,2095,79918
5915046,North Vancouver,Greater Vancouver,District municipality,49.3640889,-123.0066264,850744,1195,1203,25.2,42,15.9,29990,5765,1390,835,675,20.7,3195,5845,9115,12395,24765,5790,0,76556,575,440,595,1070,1805,1835,1785,2080,3750,3310,3400,2695,7215,87322
5915051,North Vancouver,Greater Vancouver,City,49.32020259,-123.0699284,599985,1209,1017,26.9,43.4,10.8,15960,5860,2940,525,365,20.5,8620,7260,4120,2790,12390,10400,0,52794,860,405,770,1225,1945,2210,2340,1770,3275,2210,2275,1190,2320,59373
5915055,West Vancouver,Greater Vancouver,District municipality,49.36845788,-123.1930074,1299894,988,1284,26,54.5,11.6,11020,1950,755,250,290,20.7,2655,3725,4045,6650,13465,3615,0,73213,460,305,385,925,1115,1220,1195,955,1610,1410,1250,1150,5095,84345
5915065,Lions Bay,Greater Vancouver,Village,49.46263268,-123.2356927,1001342,1446,773,21.8,23.1,0,465,100,0,0,0,31,25,45,215,215,430,65,0,94106,0,0,0,0,0,20,25,25,35,95,95,80,115,106970
5915070,Pitt Meadows,Greater Vancouver,City,49.27196502,-122.6637759,459965,1411,922,28,34.9,16.4,7415,1195,320,40,105,30.2,555,1740,2685,1735,5250,1470,0,65934,185,90,130,335,390,585,505,520,980,790,850,650,705,73065
5915075,Maple Ridge,Greater Vancouver,District municipality,49.26224519,-122.5161393,449365,1500,868,27.1,45.1,15.7,31555,3475,1215,195,320,30.5,2610,5880,9875,9675,22590,5450,0,63231,685,430,690,1405,1745,2055,2225,2140,4415,3465,3535,2205,3040,71078
5915801,Semiahmoo,Greater Vancouver,Indian reserve,49.01262103,-122.7684457,0,0,0,Null,Null,0,40,0,0,0,0,30.1,20,30,15,0,60,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915802,Tsawwassen,Greater Vancouver,Indian reserve,49.0436288,-123.0985053,0,0,0,0,0,0,220,0,25,15,0,20.4,30,75,95,95,265,20,10,52506,10,20,15,0,25,10,45,15,20,15,25,0,65,56945
5915803,Musqueam 2,Greater Vancouver,Indian reserve,49.22944925,-123.2074415,0,0,0,0,0,0,395,70,95,30,0,15.9,10,80,230,240,390,135,30,55025,40,30,15,35,50,45,45,20,45,25,55,35,115,58935
5915806,Burrard Inlet 3,Greater Vancouver,Indian reserve,49.30934696,-122.9788347,0,0,0,0,0,0,630,75,45,25,0,20.8,205,405,75,45,535,190,0,61198,0,40,0,0,65,90,40,55,115,95,90,30,90,69201
5915807,Mission 1,Greater Vancouver,Indian reserve,49.31660441,-123.088073,0,0,0,0,0,0,130,55,25,0,0,15.8,0,40,50,80,80,10,75,36625,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,36881
5915808,Capilano 5,Greater Vancouver,Indian reserve,49.32161028,-123.1319111,0,0,0,0,0,0,540,300,155,10,0,20,730,320,135,125,210,930,170,31046,110,70,110,165,145,160,140,90,100,75,65,20,45,32752
5915811,Seymour Creek 2,Greater Vancouver,Indian reserve,49.30559546,-123.0251579,0,0,0,Null,Null,0,25,0,0,0,0,15.7,0,10,0,15,0,0,20,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915816,McMillan Island 6,Greater Vancouver,Indian reserve,49.17493291,-122.5651035,0,0,0,Null,Null,0,15,0,0,0,0,40.8,0,0,10,10,25,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5915825,Matsqui 4,Greater Vancouver,Indian reserve,49.00521101,-122.4762864,0,0,0,0,0,0,20,0,0,0,0,20.4,0,215,30,0,210,35,0,35724,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,Null,Null,Null,37060
5915830,Katzie 1,Greater Vancouver,Indian reserve,49.20284173,-122.6736705,0,0,0,Null,Null,0,40,10,10,0,0,20.3,10,0,30,20,55,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917005,North Saanich,Capital,District municipality,48.6566704,-123.440701,728626,709,848,16.4,33,14.7,3970,295,110,160,145,15.8,280,720,1945,1560,4025,480,0,78544,80,35,35,90,310,340,265,350,575,570,515,375,970,89835
5917010,Sidney,Capital,Town,48.65198043,-123.4070892,450051,750,1081,24.5,52.6,4.8,3125,320,470,155,120,15.7,700,2195,1575,860,4280,1045,0,50137,65,120,85,315,660,620,550,435,985,615,440,185,255,55687
5917015,Central Saanich,Capital,District municipality,48.58042263,-123.4221662,558248,956,921,18.7,40.6,16.8,6280,455,290,230,185,20.2,665,1505,2470,1960,5315,1285,0,67818,55,50,110,280,465,475,635,500,890,860,840,495,925,77324
5917021,Saanich,Capital,District municipality,48.49688788,-123.3898938,598306,935,948,21.7,44.8,15.8,38680,6455,3035,2790,1135,15.8,6130,11500,13435,14325,33245,12140,0,60876,1135,670,1180,2025,3330,3765,4100,3640,6585,5415,4870,3290,5385,68393
5917027,Capital F,Capital,Regional district electoral area,48.81374775,-123.4972162,525275,602,774,28.6,56.2,10.5,2955,160,265,80,80,11.5,540,1655,1545,925,3845,815,0,48316,235,100,140,295,515,470,405,505,675,495,340,310,175,53523
5917029,Capital G,Capital,Regional district electoral area,48.81976326,-123.3161237,449363,408,836,16.4,51.7,10.2,1440,50,85,65,20,15.4,345,1065,865,260,2235,295,0,46889,60,30,80,235,335,235,260,350,325,260,155,75,125,52025
5917030,Oak Bay,Capital,District municipality,48.43542223,-123.3103494,776697,771,906,17.2,50.9,12.5,4450,725,700,700,275,15.5,1240,1785,2060,2675,5880,1885,0,70754,155,175,135,340,645,545,485,545,855,700,910,630,1650,80388
5917034,Victoria,Capital,City,48.42835017,-123.3564126,456218,1025,865,25.2,49.4,13.1,20040,5565,9105,4250,990,15.8,18410,15440,5815,3295,17485,25475,0,41337,1660,1165,2725,3135,4825,5365,4540,3530,5885,3895,2730,1540,1965,45827
5917040,Esquimalt,Capital,District municipality,48.43372014,-123.4114521,449490,1132,874,24.1,45.3,13,5270,1340,950,530,240,17.1,2150,3005,1935,945,3975,4065,0,48656,185,90,510,425,870,735,915,720,1405,815,765,285,315,52956
5917041,Colwood,Capital,City,48.42629174,-123.4865303,500696,1343,1002,20.6,28.9,22.3,6790,585,235,230,190,28,440,1150,2460,2050,4775,1320,0,71839,90,155,50,215,220,335,455,470,935,1090,875,590,615,82703
5917042,Metchosin,Capital,District municipality,48.37788861,-123.5697542,673069,980,949,23.9,20.7,10.2,1875,50,65,50,35,30.4,180,325,705,575,1485,300,0,70990,25,0,15,125,75,85,125,110,320,250,215,185,250,80834
5917044,Langford,Capital,City,48.45103525,-123.529042,466608,1516,1097,27.9,45.9,10.3,13065,985,845,275,230,25.4,1320,2970,4315,3080,8855,2825,0,62069,325,150,300,505,665,815,1105,1100,1765,1655,1365,910,1020,69820
5917047,View Royal,Capital,Town,48.47107721,-123.4625302,527487,1215,1003,21.3,36.5,13.6,3755,630,130,175,85,20.5,580,950,1500,915,2845,1100,0,65672,65,75,90,195,205,290,310,350,585,500,515,285,480,74519
5917049,Highlands,Capital,District municipality,48.51533294,-123.5038913,641398,1508,1057,17.4,0,0,1025,20,25,0,30,25.3,15,125,275,360,745,35,0,87881,0,0,0,0,0,35,45,45,75,145,150,60,175,96805
5917052,Sooke,Capital,District municipality,48.39703627,-123.6924245,409991,1393,950,27,50.9,16.3,4505,470,225,35,105,35.1,325,1180,1910,1090,3675,835,0,58003,130,55,125,210,360,380,445,390,745,485,525,350,310,64867
5917054,Capital H (Part 1),Capital,Regional district electoral area,48.43775092,-123.6899392,501256,1094,1273,24.1,46.3,0,1700,135,40,0,40,40.3,175,465,755,430,1555,270,0,58901,55,50,45,75,175,125,120,195,300,210,255,110,120,67985
5917801,Cole Bay 3,Capital,Indian reserve,48.62260232,-123.4562016,0,0,0,0,0,0,50,10,10,0,0,10.7,0,15,35,25,50,0,25,31322,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,32395
5917802,Union Bay 4,Capital,Indian reserve,48.6646278,-123.4492898,0,0,0,Null,Null,0,15,0,0,0,0,10.8,0,10,10,15,25,10,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917803,East Saanich 2,Capital,Indian reserve,48.58783574,-123.3884536,0,0,0,0,0,0,445,35,50,10,20,20.4,155,480,175,45,785,40,25,41362,20,10,45,55,105,110,125,100,160,70,45,10,10,45107
5917804,South Saanich 1,Capital,Indian reserve,48.58492503,-123.4553224,0,0,0,0,0,0,180,15,10,0,0,15.6,15,55,85,45,160,35,15,41481,Null,Null,Null,Null,Null,Null,Null,20,Null,Null,Null,Null,Null,41564
5917812,New Songhees 1A,Capital,Indian reserve,48.44533107,-123.4236545,0,0,0,0,0,0,450,75,55,20,0,16.7,70,540,185,45,635,200,0,45132,0,10,35,45,125,110,100,130,160,70,35,0,0,47155
5917815,Gordon River 2,Capital,Indian reserve,48.57794041,-124.4061714,0,0,0,Null,Null,0,15,0,15,0,0,5.3,0,10,10,10,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5917819,T'Sou-ke,Capital,Indian reserve,48.37062716,-123.7304502,0,0,0,Null,Null,0,85,0,15,0,0,15.1,0,15,40,20,45,15,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919008,North Cowichan,Cowichan Valley,District municipality,48.8398345,-123.6977142,375920,791,730,18.9,57.7,16,10520,270,680,200,195,15.4,965,2895,5105,3085,9355,2700,0,51277,230,260,450,620,1375,1360,1120,1035,1740,1345,1220,550,740,55979
5919012,Duncan,Cowichan Valley,City,48.77939698,-123.7021517,274441,460,794,24.8,62.3,14.6,1330,40,215,50,0,10.9,570,1020,625,175,1350,1035,0,33401,95,60,180,235,460,285,280,220,215,155,110,35,55,35703
5919013,Cowichan Valley D,Cowichan Valley,Regional district electoral area,48.74322692,-123.6257204,400745,965,572,18.8,29,0,1175,25,55,0,0,15.7,125,275,525,355,1120,155,0,59598,25,10,70,20,45,150,140,65,240,185,190,50,70,68917
5919015,Cowichan Valley G,Cowichan Valley,Regional district electoral area,48.97545263,-123.9784566,400926,492,783,22.5,56.5,0,825,0,0,0,40,20.6,105,325,290,270,875,115,0,48402,0,10,45,25,85,185,115,60,180,100,85,30,55,51925
5919016,Lake Cowichan,Cowichan Valley,Town,48.82361401,-124.0600474,299052,682,672,20,57.6,25.4,1050,0,75,15,0,25.2,120,335,480,360,1005,295,0,42672,25,20,95,130,155,155,100,140,200,120,75,50,25,44170
5919017,Cowichan Valley H,Cowichan Valley,Regional district electoral area,49.01973816,-123.8916791,420019,789,657,23.5,10.3,0,790,0,50,0,15,20.8,105,255,385,275,870,145,0,51199,0,0,90,15,130,125,85,95,165,130,45,55,50,55972
5919021,Ladysmith,Cowichan Valley,Town,48.97514547,-123.8084561,340923,835,853,18.3,45,22.1,2980,0,340,0,125,20.3,250,835,1410,910,2710,700,0,49889,40,85,30,170,370,405,415,315,465,340,325,280,180,54413
5919035,Cowichan Valley I,Cowichan Valley,Regional district electoral area,48.95487585,-124.3475088,399886,700,783,29.8,0,0,330,0,0,0,0,25.1,0,215,265,85,475,100,0,33672,50,0,0,20,100,90,45,40,75,30,25,10,20,35197
5919043,Cowichan Valley A,Cowichan Valley,Regional district electoral area,48.61177685,-123.5557824,479635,580,751,16.2,37.5,9.4,1690,35,85,0,25,25.7,155,390,710,510,1605,165,0,64914,35,20,0,70,180,210,85,105,270,210,180,205,190,74378
5919046,Cowichan Valley B,Cowichan Valley,Regional district electoral area,48.64830916,-123.7195294,424956,1375,1096,22.6,45.6,0,3705,65,70,35,35,30.9,155,595,1195,1120,2785,280,0,69175,80,70,40,75,225,190,205,200,475,510,300,295,405,78731
5919049,Cowichan Valley C,Cowichan Valley,Regional district electoral area,48.69746982,-123.5795347,450411,644,991,17.6,35.5,0,1595,45,40,15,45,25.3,45,755,835,475,1955,160,0,64618,55,0,45,45,220,145,165,145,370,325,225,190,175,71108
5919051,Cowichan Valley E,Cowichan Valley,Regional district electoral area,48.77700791,-123.789191,380737,1029,803,22,47.2,22.2,1560,20,45,0,35,15.8,80,290,655,485,1335,180,0,64554,25,10,70,70,130,145,120,85,195,305,195,75,100,74475
5919801,Halalt 2,Cowichan Valley,Indian reserve,48.8760969,-123.6930047,0,0,0,Null,Null,0,35,0,10,0,0,15.1,0,10,15,10,25,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919802,Squaw-hay-one 11,Cowichan Valley,Indian reserve,48.90140103,-123.6951572,0,0,0,Null,Null,0,0,0,0,0,0,0,0,0,0,10,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919803,Tsussie 6,Cowichan Valley,Indian reserve,48.88347783,-123.6757673,0,0,0,Null,Null,0,15,0,0,0,0,25.6,0,0,15,0,10,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919804,Chemainus 13,Cowichan Valley,Indian reserve,49.01248083,-123.7850704,0,0,0,0,0,0,105,0,10,0,0,16,0,15,55,75,45,20,90,37628,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,38346
5919809,Kuper Island 7,Cowichan Valley,Indian reserve,48.96171047,-123.6455005,0,0,0,0,0,0,55,0,10,0,0,25.3,0,15,75,35,65,15,50,19645,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,Null,Null,Null,19645
5919814,Malachan 11,Cowichan Valley,Indian reserve,48.80774435,-124.6688167,0,0,0,Null,Null,0,10,0,25,0,0,4.5,0,25,15,15,25,10,25,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919815,Malahat 11,Cowichan Valley,Indian reserve,48.62033328,-123.5301806,0,0,0,Null,Null,0,10,0,0,0,0,3,0,0,0,10,0,0,15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919816,Oyster Bay 12,Cowichan Valley,Indian reserve,49.01848496,-123.8576646,0,0,0,Null,Null,0,15,0,0,0,0,8.3,0,0,0,10,0,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5919822,Cowichan,Cowichan Valley,Indian reserve,48.76664631,-123.6742525,0,0,0,0,0,0,370,0,35,0,0,11,30,60,185,230,305,115,80,38886,20,15,30,45,80,70,65,45,65,30,20,10,0,39182
5921007,Nanaimo,Nanaimo,City,49.17972673,-123.9662989,348460,948,849,24.6,52.7,13.8,30860,1350,2660,700,725,15.1,4385,10645,11230,9950,25990,10210,0,48469,1065,870,1660,2245,3715,3735,3875,3330,5205,3960,2775,1700,2070,52744
5921008,Lantzville,Nanaimo,District municipality,49.23003422,-124.100239,448884,826,1003,21.2,44.4,0,1405,15,60,25,55,20.1,50,215,665,530,1330,135,0,61463,15,0,25,65,90,120,175,115,280,135,145,95,205,69426
5921010,Nanaimo A,Nanaimo,Regional district electoral area,49.08677307,-123.8476377,379927,893,1002,22,50.7,0,2940,20,90,70,80,20.2,165,730,1275,730,2525,380,0,55103,65,70,80,120,355,265,210,265,480,405,295,175,135,61420
5921014,Nanaimo B,Nanaimo,Regional district electoral area,49.15629093,-123.7862796,359015,399,800,19.3,40,10,1015,145,140,30,75,15.3,270,880,700,225,1870,205,0,46124,40,90,110,125,225,260,205,185,235,215,170,80,130,48133
5921016,Nanaimo C,Nanaimo,Regional district electoral area,49.12328839,-124.2827413,450250,664,851,18.9,39.4,0,1065,10,65,0,0,15.5,70,235,375,350,865,165,0,62102,0,0,25,80,55,90,50,115,140,145,125,70,120,70906
5921018,Parksville,Nanaimo,City,49.31746988,-124.3045907,341293,684,804,18.9,50.2,11.9,3355,40,365,40,80,10.8,385,2520,2295,485,4420,1265,0,46207,110,45,110,370,815,680,700,735,885,530,375,170,160,50261
5921023,Qualicum Beach,Nanaimo,Town,49.34539155,-124.4292803,400736,467,1012,12.9,55.3,8.1,1765,35,160,50,70,15.3,210,1475,1950,500,3700,425,0,51236,70,100,75,240,385,580,440,335,770,400,300,150,280,55445
5921030,Nanaimo E,Nanaimo,Regional district electoral area,49.2600716,-124.188004,501531,633,999,17.6,51.1,10.6,1705,15,70,45,90,20.2,150,775,1090,575,2355,235,0,61854,95,20,55,120,180,225,250,180,350,355,225,175,355,68463
5921032,Nanaimo F,Nanaimo,Regional district electoral area,49.27836665,-124.4635219,397358,782,764,23.6,57.7,0,2970,0,155,40,85,15.7,355,1100,1165,625,2465,785,0,44161,95,50,145,190,340,390,480,245,465,355,265,125,100,48519
5921034,Nanaimo G,Nanaimo,Regional district electoral area,49.32864891,-124.4077595,400068,599,1160,19.1,60.8,0,2250,45,135,55,55,15.7,55,935,1695,480,2910,260,0,55137,75,50,70,95,265,400,355,245,470,435,250,180,265,60726
5921036,Nanaimo H,Nanaimo,Regional district electoral area,49.37001081,-124.7284915,400588,467,946,15.3,56.1,7.6,1030,0,40,0,30,25.6,150,565,700,220,1310,330,0,44661,55,35,75,80,230,230,185,80,250,155,140,55,75,47404
5921804,Nanaimo Town 1,Nanaimo,Indian reserve,49.15048957,-123.9291346,0,0,0,0,0,0,60,0,30,0,0,5.7,0,25,50,50,55,20,40,35018,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,35408
5921805,Nanoose,Nanaimo,Indian reserve,49.25113633,-124.1226888,0,0,0,Null,Null,0,35,0,20,0,0,10.4,0,15,40,15,15,0,55,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5921806,Qualicum,Nanaimo,Indian reserve,49.39767634,-124.6137768,0,0,0,Null,Null,0,30,0,10,0,0,5.5,0,10,15,10,20,0,10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5921807,Nanaimo River,Nanaimo,Indian reserve,49.12416998,-123.8801617,0,0,0,0,0,0,30,0,0,0,0,15.6,10,15,30,45,20,0,70,24001,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,Null,Null,Null,24001
5923008,Port Alberni,Alberni-Clayoquot,City,49.24755572,-124.802173,235388,539,660,16.8,48.9,14.2,5265,200,465,80,55,10.3,800,2230,2760,2155,5380,2565,0,41964,170,250,505,630,990,1000,885,670,1170,660,510,360,140,44819
5923033,Alberni-Clayoquot B,Alberni-Clayoquot,Regional district electoral area,49.36004475,-124.9028833,320270,376,0,19.4,0,0,175,0,40,0,0,20.1,0,20,85,80,180,0,0,48452,Null,Null,Null,Null,Null,Null,Null,30,Null,Null,Null,Null,Null,50405
5923035,Alberni-Clayoquot D,Alberni-Clayoquot,Regional district electoral area,49.35226939,-125.2033724,500684,458,728,19.3,66.7,0,610,0,55,0,0,15.8,0,180,215,325,680,90,0,51616,0,0,0,25,85,45,105,65,70,70,80,55,105,53737
