Geo_Code,CSD_Name,CD_Name,CSD_type,Couple-only Median family income ($),"Household total income Under $5,000","Household total income $10,000 to $14,999","Household total income $100,000 to $124,999","Household total income $125,000 to $149,999","Household total income $15,000 to $19,999","Household total income $150,000 and over","Household total income $20,000 to $29,999","Household total income $30,000 to $39,999","Household total income $40,000 to $49,999","Household total income $5,000 to $9,999","Household total income $50,000 to $59,999","Household total $60,000 to $79,999","Household total income $80,000 to $99,999",% of owner households spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Couple-only economic families,Couple-with-children economic families,Lone-parent economic families,Economic families Median family income ($),Private households Median household total income ($),Individuals Median income ($),Not in economic family Median total income ($),Median value of dwellings ($),Spending 30% or more of household total income on shelter costs, Spending less than 30% of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($), % of tenant households in subsidized housing,% of tenant households spending 30% or more of household total income on shelter costs
5931006,Squamish,Squamish-Lillooet,District municipality,78922,185,270,830,445,290,760,355,610,640,95,340,845,855,29.7,74.3,1725,2285,525,87387,72751,33799,25925,495859,2350,4115,2040,1584,974,11.8,54.2
5931020,Whistler,Squamish-Lillooet,District municipality,80134,175,65,420,200,170,445,225,450,320,45,285,555,555,40.4,67.7,1150,870,115,84152,65757,32432,30511,550642,1730,2155,1360,1492,1298,15.4,51.8
5931026,Lillooet,Squamish-Lillooet,District municipality,57748,20,65,75,15,120,65,145,125,60,45,115,120,95,18.8,43.6,290,205,135,61969,41560,20634,18621,200420,255,805,220,471,609,36.2,42.6
5931032,Squamish-Lillooet A,Squamish-Lillooet,Regional district electoral area,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,63.2,Null,Null,Null,Null,Null,Null,Null,125302,Null,Null,Null,453,0,0,Null
5931034,Squamish-Lillooet B,Squamish-Lillooet,Regional district electoral area,107667,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,16.7,25,100,15,35,68836,55685,20221,0,376086,45,85,10,275,870,0,0
5931801,Cheakamus 11,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931806,Seaichem 16,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931807,Stawamus 24,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931808,Waiwakum 14,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931812,Nesuch 3,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931813,Bridge River 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931814,Cayoosh Creek 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931815,Chilhil 6,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931816,Fountain  1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931821,Lillooet 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931823,McCartney's Flat 4,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931829,Pavilion 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931831,Slosh 1,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931842,Fountain  1B,Squamish-Lillooet,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5931843,Mount Currie,Squamish-Lillooet,Indian reserve,28705,55,30,15,10,35,0,50,55,25,25,25,35,15,0,0,55,145,90,31965,28699,12814,4627,0,0,0,0,0,0,0,0
5931844,Nequatque,Squamish-Lillooet,Indian reserve,35979,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,25,30,37882,34383,15874,15127,0,0,0,0,0,0,0,0
5933006,Merritt,Thompson-Nicola,City,65536,80,85,275,180,145,160,245,405,260,35,170,550,315,17.5,56.6,875,690,350,69171,61890,30662,30943,259100,595,2275,475,913,701,15.4,30
5933008,Thompson-Nicola M,Thompson-Nicola,Regional district electoral area,82566,25,35,85,45,20,50,95,95,80,0,30,85,145,20.8,55.7,315,190,45,82933,61223,29434,25956,250787,180,610,145,817,502,0,29.6
5933019,Ashcroft,Thompson-Nicola,Village,51781,10,0,65,35,80,20,85,100,115,0,70,65,100,12.5,42,285,115,45,62547,47109,26505,29190,200328,120,635,105,361,615,0,28.1
5933024,Cache Creek,Thompson-Nicola,Village,46916,0,30,20,0,45,25,45,50,80,0,65,55,35,8.6,46.9,195,80,55,50290,46889,25328,32719,179521,75,410,60,379,544,0,46.7
5933035,Logan Lake,Thompson-Nicola,District municipality,48022,0,0,85,75,20,35,100,260,135,20,55,110,80,8,48.4,455,180,50,55553,48094,23770,28403,224979,80,900,70,409,610,0,11.1
5933039,Thompson-Nicola J (Copper Desert Country),Thompson-Nicola,Regional district electoral area,58995,0,0,55,70,15,70,30,125,30,0,90,105,45,15.9,58.9,320,140,35,66608,62489,30048,51214,348969,110,505,95,725,1426,0,50
5933042,Kamloops,Thompson-Nicola,City,69657,900,1290,3665,2485,1865,3045,2825,3805,2680,435,2905,5255,3880,18.1,60.2,10185,9715,3555,77718,62598,31380,25890,349099,8965,25905,7430,1052,833,14.4,47
5933044,Thompson-Nicola P (Rivers and the Peaks),Thompson-Nicola,Regional district electoral area,70104,20,15,260,120,60,95,135,115,165,35,105,290,105,19.9,58.2,675,420,115,72088,67152,30404,37868,422872,280,1175,235,845,1100,0,16.7
5933045,Sun Peaks Mountain,Thompson-Nicola,Village,75335,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,33.3,60,35,35,0,53940,46331,28489,26973,518293,65,105,55,1342,1053,0,40
5933054,Chase,Thompson-Nicola,Village,58958,0,25,40,25,130,35,155,175,105,35,180,205,80,21.4,48.6,425,225,60,59034,45567,24218,21754,275119,290,905,265,521,501,7.1,33.9
5933067,Clearwater,Thompson-Nicola,District municipality,64634,0,20,70,15,50,75,110,165,80,40,80,215,100,18.7,54.4,405,280,65,64655,56672,25240,24236,290190,200,805,180,784,694,9.7,30
5933068,Thompson-Nicola A (Wells Gray Country),Thompson-Nicola,Regional district electoral area,58220,0,20,50,20,15,0,60,95,135,15,55,85,90,10.9,41.7,300,120,30,54458,48328,24385,34964,200018,90,555,80,306,728,0,55.6
5933801,Coldwater 1,Thompson-Nicola,Indian reserve,42360,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,10,40,30,38357,35410,15686,15124,0,0,0,0,0,0,0,0
5933802,Douglas Lake 3,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933805,Joeyaska 2,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933806,Nicola Lake 1,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933807,Nicola Mameet 1,Thompson-Nicola,Indian reserve,49304,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,25,65,40,29875,27698,14390,11600,0,0,0,0,0,0,0,0
5933808,Nooaitch 10,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933809,Paul's Basin 2,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933812,Bonaparte 3,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933814,Canoe Creek 1,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933817,Skeetchestn,Thompson-Nicola,Indian reserve,45982,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,0,15,30,15,47034,38008,19724,18028,0,0,0,0,0,0,0,0
5933825,Inklyuhkinatko 2,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933829,Klahkamich 17,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933832,Klickkumcheen 18,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933833,Inkluckcheen,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933836,Lower Hat Creek 2,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933838,Neskonlith,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933844,Ashcroft 4,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933849,Siska Flat,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933851,Nicomen 1,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933853,Nuuautin 2,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933859,Shackan 11,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933872,Marble Canyon 3,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933873,Stryen 9,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933877,Whispering Pines 4,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933880,Kamloops 1,Thompson-Nicola,Indian reserve,93978,55,40,170,45,45,150,85,100,90,40,85,125,95,0,0,450,245,115,83598,63185,32829,26775,0,0,0,0,0,0,0,0
5933884,Sahhaltkum 4,Thompson-Nicola,Indian reserve,25189,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,0,0,15,40,30,39334,34457,17437,10933,0,0,0,0,0,0,0,0
5933887,North Thompson 1,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5933896,Nekliptum  1,Thompson-Nicola,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5935010,Kelowna,Central Okanagan,City,67777,1010,1470,4795,2760,3100,4195,4990,5505,4685,760,4135,6855,5410,24.7,58.5,14820,12325,4350,74697,57948,29832,26668,415710,15900,33415,13235,1064,1001,10.1,51.1
5935012,Central Okanagan,Central Okanagan,Regional district electoral area,72191,115,30,180,135,50,165,90,120,130,0,105,290,115,23.1,56.4,575,520,60,78103,69064,32416,25506,474730,470,985,330,964,829,0,77.6
5935016,Lake Country,Central Okanagan,District municipality,72387,175,155,550,275,155,280,440,380,385,50,250,720,675,25.1,63.4,1505,1475,345,76782,66676,29102,21944,449131,1265,3010,970,1238,1038,11.1,48.5
5935018,Peachland,Central Okanagan,District municipality,65736,50,40,250,110,95,150,225,255,225,80,165,385,270,27.1,52.3,1070,485,130,68728,60590,28691,23942,449797,670,1640,485,858,767,31.7,41.3
5935020,Central Okanagan J,Central Okanagan,Regional district electoral area,68933,0,0,115,25,15,95,75,75,105,30,90,110,85,27.2,54.1,455,170,10,71803,64103,27752,30522,424688,240,600,210,971,1085,0,66.7
5935029,West Kelowna,Central Okanagan,District municipality,69110,275,330,1115,845,345,1330,755,920,1195,165,1035,2090,1405,23.8,58.5,4265,3815,995,77042,68261,30704,31818,448732,3150,8580,2500,1072,1080,6.6,43.9
5935802,Tsinstikeptum  9,Central Okanagan,Indian reserve,56122,60,95,95,60,265,55,310,450,360,55,240,495,260,0,0,1100,445,270,54257,44127,23597,28708,0,0,0,0,0,0,0,0
5935803,Tsinstikeptum 10,Central Okanagan,Indian reserve,49630,20,30,25,0,0,15,40,85,50,0,50,80,55,0,0,180,145,50,60465,52597,21004,25672,0,0,0,0,0,0,0,0
5937010,Coldstream,North Okanagan,District municipality,74245,35,15,410,360,85,435,210,355,285,45,365,600,590,16.3,54.7,1415,1365,270,85361,78417,33765,32406,473121,725,2980,620,936,1005,0,43.8
5937014,Vernon,North Okanagan,City,64069,385,640,1200,805,1235,925,2150,1750,1615,290,1365,2285,1770,21.7,54.6,4965,3550,1755,64439,50644,26862,24936,348871,5040,11340,4215,831,828,14.2,53.3
5937017,North Okanagan B,North Okanagan,Regional district electoral area,85490,20,0,220,70,45,55,100,90,170,25,80,155,175,15.2,53.2,465,345,130,76243,71488,27519,30862,448828,275,880,250,811,708,35.4,58.3
5937021,North Okanagan C,North Okanagan,Regional district electoral area,63477,45,0,185,105,35,210,120,100,100,0,90,250,125,21.2,54.7,535,520,75,83281,73083,34616,37879,500372,365,1015,265,1064,1018,0,54.5
5937022,North Okanagan D,North Okanagan,Regional district electoral area,42461,45,35,60,40,85,80,75,175,130,20,40,195,110,20.7,49.7,475,310,85,61011,46908,25071,19271,375859,235,795,195,594,703,0,40.9
5937024,Spallumcheen,North Okanagan,District municipality,66893,50,75,95,120,70,125,190,270,150,35,125,365,280,23.4,45.2,805,540,195,66950,60691,24283,24205,449174,380,1315,335,532,919,0,15.8
5937028,Armstrong,North Okanagan,City,57752,85,70,145,110,155,65,245,190,245,15,175,310,195,25.9,54.1,655,500,195,67209,50005,25190,21543,348227,610,1370,470,803,870,22.1,50.6
5937033,Enderby,North Okanagan,City,58960,15,20,60,10,220,0,145,270,155,10,120,185,205,17.2,49.8,565,240,125,58959,40954,22922,20086,299588,355,1060,320,679,709,12.3,45
5937041,North Okanagan F,North Okanagan,Regional district electoral area,45679,20,50,70,45,90,125,220,200,180,15,140,250,160,20.5,51.3,585,430,90,58155,51141,21705,35098,389182,360,1020,330,559,881,0,50
5937801,Okanagan (Part) 1,North Okanagan,Indian reserve,50021,30,50,30,30,80,20,125,220,155,25,190,180,100,0,0,645,140,75,49134,45656,22426,28102,0,0,0,0,0,0,0,0
5937802,Enderby 2,North Okanagan,Indian reserve,46809,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15,Null,Null,0,0,20,45,30,43618,30077,17326,15537,0,0,0,0,0,0,0,0
5937803,Priest's Valley 6,North Okanagan,Indian reserve,46047,0,0,0,0,35,0,0,65,65,0,40,55,0,0,0,160,30,30,43937,40818,20950,20276,0,0,0,0,0,0,0,0
5939019,Revelstoke,Columbia-Shuswap,City,67904,90,95,365,190,175,145,280,330,335,0,270,410,385,19,57.4,980,785,255,73515,57724,29053,30838,379087,745,2320,645,898,751,10.4,40
5939023,Columbia-Shuswap B,Columbia-Shuswap,Regional district electoral area,49694,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25,Null,Null,24.4,52.4,90,75,0,58535,53283,27661,41330,500480,60,175,60,472,743,0,0
5939032,Salmon Arm,Columbia-Shuswap,City,55767,175,280,585,355,560,385,970,770,855,85,655,945,725,18,50.8,2465,1820,660,62719,49334,25050,22819,349207,1860,5275,1620,653,765,21.6,50.4
5939037,Columbia-Shuswap C,Columbia-Shuswap,Regional district electoral area,54387,120,80,225,85,180,155,345,460,485,0,375,560,315,17.8,47.6,1760,685,145,58230,50550,24666,24413,380072,695,2620,575,518,933,27.5,47.8
5939039,Columbia-Shuswap D,Columbia-Shuswap,Regional district electoral area,43748,25,65,85,55,110,50,215,130,250,80,125,285,150,28.8,60.8,600,470,95,55706,44150,20503,17557,348276,475,1025,390,908,715,0,46
5939043,Columbia-Shuswap E,Columbia-Shuswap,Regional district electoral area,39800,0,60,25,10,30,0,115,90,50,0,40,90,35,30.4,62,200,160,0,49548,36477,15578,19211,399948,195,390,145,650,555,0,46.2
5939803,North Bay 5,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5939804,Okanagan (Part) 1,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5939805,Quaaout 1,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5939806,Salmon River 1,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5939808,Switsemalph 3,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5939811,Switsemalph,Columbia-Shuswap,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5941009,Williams Lake,Cariboo,City,64629,125,255,465,240,245,230,510,500,350,75,425,600,510,12.6,51.7,1220,1115,550,68469,55251,26999,23651,224291,995,3525,840,630,693,14.6,37.9
5941010,Cariboo D,Cariboo,Regional district electoral area,73486,15,25,180,75,45,90,70,100,65,0,130,215,215,14.5,58.7,430,380,85,88063,73380,35370,37314,200472,180,970,155,821,851,0,28
5941012,Cariboo E,Cariboo,Regional district electoral area,71818,45,30,195,105,95,110,130,115,125,45,140,270,270,12.8,58.4,650,530,100,78252,70539,31024,27432,229619,230,1395,170,627,775,0,31.8
5941013,Quesnel,Cariboo,City,68606,160,220,295,270,360,195,480,495,265,120,445,590,435,14,51.8,1160,1000,560,66039,50864,24937,24629,174477,1130,3190,915,556,637,10.7,48.2
5941014,Cariboo F,Cariboo,Regional district electoral area,56643,25,0,200,115,65,135,195,200,265,0,100,310,205,13.5,48.9,765,550,105,71873,60458,29685,29472,286338,240,1470,205,536,672,0,19.4
5941015,Cariboo G,Cariboo,Regional district electoral area,65747,50,45,310,80,100,120,195,195,315,0,95,395,220,12.8,53.9,935,530,75,72382,62841,29423,28259,250285,295,1775,220,641,717,0,24.4
5941016,Cariboo H,Cariboo,Regional district electoral area,37847,25,145,75,0,40,0,70,90,35,0,85,100,40,20.3,45.5,250,150,45,44838,34011,17251,17699,200699,185,515,145,409,690,0,70.6
5941017,Cariboo L,Cariboo,Regional district electoral area,38350,40,55,100,65,165,60,385,300,135,0,195,210,165,14.5,41.8,965,420,45,50721,38902,21084,21665,274894,300,1535,270,368,665,0,36.7
5941019,Cariboo A,Cariboo,Regional district electoral area,66747,0,100,320,150,135,165,195,275,220,35,230,310,370,9.8,50.6,900,780,230,76948,62919,29302,23738,200681,300,2165,230,541,660,15.9,27
5941021,Cariboo B,Cariboo,Regional district electoral area,60630,70,20,245,140,110,70,135,195,135,40,160,230,165,12.4,59.2,605,455,100,76049,59939,29964,33347,200120,255,1400,185,681,651,0,42.4
5941025,Wells,Cariboo,District municipality,43744,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,10,Null,Null,18.2,40,40,45,0,58359,44904,23788,16813,169127,15,100,20,380,669,0,0
5941026,Cariboo C,Cariboo,Regional district electoral area,70154,0,10,20,25,0,0,15,30,35,0,80,65,95,4.2,54.9,185,170,0,64354,57182,26410,38827,149813,45,395,25,526,603,0,37.5
5941027,Cariboo I,Cariboo,Regional district electoral area,62107,25,45,70,25,25,35,50,70,65,0,30,85,95,18.8,49,285,150,50,71767,58378,24367,18031,224679,115,475,85,452,623,0,0
5941039,Cariboo J,Cariboo,Regional district electoral area,32840,45,0,0,0,25,0,65,50,35,0,0,20,10,21.6,34.2,100,35,20,30922,29528,16448,18231,200136,65,185,30,218,408,0,30.8
5941801,Alkali Lake 1,Cariboo,Indian reserve,47620,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,0,0,15,40,40,35569,30320,14638,15558,0,0,0,0,0,0,0,0
5941802,Canim Lake 1,Cariboo,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
5941805,Deep Creek 2,Cariboo,Indian reserve,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,0,Null,Null,Null,0,0,0,Null
